Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Total;48 Bizkaia;;Total;Todas las edades;1 de enero de 2022;1.149.344
Total;48 Bizkaia;;Total;Menos de 16 años;1 de enero de 2022;153.759
Total;48 Bizkaia;;Total;De 16 a 64 años;1 de enero de 2022;723.548
Total;48 Bizkaia;;Total;65 y más años;1 de enero de 2022;272.037
Total;48 Bizkaia;;Española;Todas las edades;1 de enero de 2022;1.059.074
Total;48 Bizkaia;;Española;Menos de 16 años;1 de enero de 2022;140.600
Total;48 Bizkaia;;Española;De 16 a 64 años;1 de enero de 2022;649.005
Total;48 Bizkaia;;Española;65 y más años;1 de enero de 2022;269.469
Total;48 Bizkaia;;Extranjera;Todas las edades;1 de enero de 2022;90.270
Total;48 Bizkaia;;Extranjera;Menos de 16 años;1 de enero de 2022;13.159
Total;48 Bizkaia;;Extranjera;De 16 a 64 años;1 de enero de 2022;74.543
Total;48 Bizkaia;;Extranjera;65 y más años;1 de enero de 2022;2.568
Total;48 Bizkaia;48001 Abadiño;Total;Todas las edades;1 de enero de 2022;7.708
Total;48 Bizkaia;48001 Abadiño;Total;Menos de 16 años;1 de enero de 2022;1.241
Total;48 Bizkaia;48001 Abadiño;Total;De 16 a 64 años;1 de enero de 2022;4.821
Total;48 Bizkaia;48001 Abadiño;Total;65 y más años;1 de enero de 2022;1.646
Total;48 Bizkaia;48001 Abadiño;Española;Todas las edades;1 de enero de 2022;7.231
Total;48 Bizkaia;48001 Abadiño;Española;Menos de 16 años;1 de enero de 2022;1.156
Total;48 Bizkaia;48001 Abadiño;Española;De 16 a 64 años;1 de enero de 2022;4.436
Total;48 Bizkaia;48001 Abadiño;Española;65 y más años;1 de enero de 2022;1.639
Total;48 Bizkaia;48001 Abadiño;Extranjera;Todas las edades;1 de enero de 2022;477
Total;48 Bizkaia;48001 Abadiño;Extranjera;Menos de 16 años;1 de enero de 2022;85
Total;48 Bizkaia;48001 Abadiño;Extranjera;De 16 a 64 años;1 de enero de 2022;385
Total;48 Bizkaia;48001 Abadiño;Extranjera;65 y más años;1 de enero de 2022;7
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Total;Todas las edades;1 de enero de 2022;9.369
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Total;Menos de 16 años;1 de enero de 2022;1.197
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Total;De 16 a 64 años;1 de enero de 2022;6.285
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Total;65 y más años;1 de enero de 2022;1.887
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Española;Todas las edades;1 de enero de 2022;9.079
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Española;Menos de 16 años;1 de enero de 2022;1.155
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Española;De 16 a 64 años;1 de enero de 2022;6.050
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Española;65 y más años;1 de enero de 2022;1.874
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Extranjera;Todas las edades;1 de enero de 2022;290
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Extranjera;Menos de 16 años;1 de enero de 2022;42
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Extranjera;De 16 a 64 años;1 de enero de 2022;235
Total;48 Bizkaia;48002 Abanto y Ciérvana-Abanto Zierbena;Extranjera;65 y más años;1 de enero de 2022;13
Total;48 Bizkaia;48911 Ajangiz;Total;Todas las edades;1 de enero de 2022;480
Total;48 Bizkaia;48911 Ajangiz;Total;Menos de 16 años;1 de enero de 2022;68
Total;48 Bizkaia;48911 Ajangiz;Total;De 16 a 64 años;1 de enero de 2022;293
Total;48 Bizkaia;48911 Ajangiz;Total;65 y más años;1 de enero de 2022;119
Total;48 Bizkaia;48911 Ajangiz;Española;Todas las edades;1 de enero de 2022;471
Total;48 Bizkaia;48911 Ajangiz;Española;Menos de 16 años;1 de enero de 2022;68
Total;48 Bizkaia;48911 Ajangiz;Española;De 16 a 64 años;1 de enero de 2022;285
Total;48 Bizkaia;48911 Ajangiz;Española;65 y más años;1 de enero de 2022;118
Total;48 Bizkaia;48911 Ajangiz;Extranjera;Todas las edades;1 de enero de 2022;9
Total;48 Bizkaia;48911 Ajangiz;Extranjera;Menos de 16 años;1 de enero de 2022;0
Total;48 Bizkaia;48911 Ajangiz;Extranjera;De 16 a 64 años;1 de enero de 2022;8
Total;48 Bizkaia;48911 Ajangiz;Extranjera;65 y más años;1 de enero de 2022;1
Total;48 Bizkaia;48912 Alonsotegi;Total;Todas las edades;1 de enero de 2022;2.960
Total;48 Bizkaia;48912 Alonsotegi;Total;Menos de 16 años;1 de enero de 2022;425
Total;48 Bizkaia;48912 Alonsotegi;Total;De 16 a 64 años;1 de enero de 2022;1.879
Total;48 Bizkaia;48912 Alonsotegi;Total;65 y más años;1 de enero de 2022;656
Total;48 Bizkaia;48912 Alonsotegi;Española;Todas las edades;1 de enero de 2022;2.751
Total;48 Bizkaia;48912 Alonsotegi;Española;Menos de 16 años;1 de enero de 2022;388
Total;48 Bizkaia;48912 Alonsotegi;Española;De 16 a 64 años;1 de enero de 2022;1.710
Total;48 Bizkaia;48912 Alonsotegi;Española;65 y más años;1 de enero de 2022;653
Total;48 Bizkaia;48912 Alonsotegi;Extranjera;Todas las edades;1 de enero de 2022;209
Total;48 Bizkaia;48912 Alonsotegi;Extranjera;Menos de 16 años;1 de enero de 2022;37
Total;48 Bizkaia;48912 Alonsotegi;Extranjera;De 16 a 64 años;1 de enero de 2022;169
Total;48 Bizkaia;48912 Alonsotegi;Extranjera;65 y más años;1 de enero de 2022;3
Total;48 Bizkaia;48003 Amorebieta-Etxano;Total;Todas las edades;1 de enero de 2022;19.587
Total;48 Bizkaia;48003 Amorebieta-Etxano;Total;Menos de 16 años;1 de enero de 2022;3.052
Total;48 Bizkaia;48003 Amorebieta-Etxano;Total;De 16 a 64 años;1 de enero de 2022;12.512
