Sexo;Provincias;Municipios;Nacionalidad;Edad (grandes grupos);Periodo;Total
Total;46 Valencia/València;;Total;Todas las edades;1 de enero de 2022;2.605.757
Total;46 Valencia/València;;Total;Menos de 16 años;1 de enero de 2022;390.798
Total;46 Valencia/València;;Total;De 16 a 64 años;1 de enero de 2022;1.704.332
Total;46 Valencia/València;;Total;65 y más años;1 de enero de 2022;510.627
Total;46 Valencia/València;;Española;Todas las edades;1 de enero de 2022;2.300.962
Total;46 Valencia/València;;Española;Menos de 16 años;1 de enero de 2022;342.989
Total;46 Valencia/València;;Española;De 16 a 64 años;1 de enero de 2022;1.465.210
Total;46 Valencia/València;;Española;65 y más años;1 de enero de 2022;492.763
Total;46 Valencia/València;;Extranjera;Todas las edades;1 de enero de 2022;304.795
Total;46 Valencia/València;;Extranjera;Menos de 16 años;1 de enero de 2022;47.809
Total;46 Valencia/València;;Extranjera;De 16 a 64 años;1 de enero de 2022;239.122
Total;46 Valencia/València;;Extranjera;65 y más años;1 de enero de 2022;17.864
Total;46 Valencia/València;46001 Ademuz;Total;Todas las edades;1 de enero de 2022;1.000
Total;46 Valencia/València;46001 Ademuz;Total;Menos de 16 años;1 de enero de 2022;133
Total;46 Valencia/València;46001 Ademuz;Total;De 16 a 64 años;1 de enero de 2022;620
Total;46 Valencia/València;46001 Ademuz;Total;65 y más años;1 de enero de 2022;247
Total;46 Valencia/València;46001 Ademuz;Española;Todas las edades;1 de enero de 2022;825
Total;46 Valencia/València;46001 Ademuz;Española;Menos de 16 años;1 de enero de 2022;71
Total;46 Valencia/València;46001 Ademuz;Española;De 16 a 64 años;1 de enero de 2022;511
Total;46 Valencia/València;46001 Ademuz;Española;65 y más años;1 de enero de 2022;243
Total;46 Valencia/València;46001 Ademuz;Extranjera;Todas las edades;1 de enero de 2022;175
Total;46 Valencia/València;46001 Ademuz;Extranjera;Menos de 16 años;1 de enero de 2022;62
Total;46 Valencia/València;46001 Ademuz;Extranjera;De 16 a 64 años;1 de enero de 2022;109
Total;46 Valencia/València;46001 Ademuz;Extranjera;65 y más años;1 de enero de 2022;4
Total;46 Valencia/València;46002 Ador;Total;Todas las edades;1 de enero de 2022;1.706
Total;46 Valencia/València;46002 Ador;Total;Menos de 16 años;1 de enero de 2022;214
Total;46 Valencia/València;46002 Ador;Total;De 16 a 64 años;1 de enero de 2022;1.141
Total;46 Valencia/València;46002 Ador;Total;65 y más años;1 de enero de 2022;351
Total;46 Valencia/València;46002 Ador;Española;Todas las edades;1 de enero de 2022;1.479
Total;46 Valencia/València;46002 Ador;Española;Menos de 16 años;1 de enero de 2022;192
Total;46 Valencia/València;46002 Ador;Española;De 16 a 64 años;1 de enero de 2022;998
Total;46 Valencia/València;46002 Ador;Española;65 y más años;1 de enero de 2022;289
Total;46 Valencia/València;46002 Ador;Extranjera;Todas las edades;1 de enero de 2022;227
Total;46 Valencia/València;46002 Ador;Extranjera;Menos de 16 años;1 de enero de 2022;22
Total;46 Valencia/València;46002 Ador;Extranjera;De 16 a 64 años;1 de enero de 2022;143
Total;46 Valencia/València;46002 Ador;Extranjera;65 y más años;1 de enero de 2022;62
Total;46 Valencia/València;46004 Agullent;Total;Todas las edades;1 de enero de 2022;2.361
