Provincia,Municipio,Dirección,Código Postal,Camas,Dependencia Funcional
Valencia,Alzira,Carretera Corbera 1,46600,364,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Bétera,Carretera Burjassot - Torres  KM 9,46117,30,Diputación O Cabildo
Valencia,Burjassot,Calle Ferrocarril 57,46100,207,Privados
Valencia,Carcaixent,"Urbanización Vall D'Aigues Vives, De La S/N",46740,96,Privados
Valencia,Gandía,Calle Daimus 26,46701,12,Privados
Valencia,Gandía,Avenida Medicina (De La) 6,46702,285,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Godella,Avenida Joan Peset 31,46110,76,Privados
Valencia,Llíria,Paraje Cabeço De L'Aguila Cv-35 S/N,46160,92,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Manises,Avenida Generalitat Valenciana 50,46940,354,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Mislata,Calle Dolores Ibárruri 1,46920,38,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Ontinyent,Avenida De Francisco Cerda 3,46870,56,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Requena,Calle Casablanca S/N,46340,113,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Sagunto/Sagunt,Calle Ramón Y Cajal 46,46520,252,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,San Antonio de Benagéber,"Carretera Ctra. Valencia-Ademuz KM 11,700",46184,230,Mutuas Colaboradoras Con La Seguridad Social
Valencia,Serra,Calle Porta Coeli S/N,46118,365,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Calle Profesor Beltrán Baguena 8,46009,117,Organizaciones No Gubernamentales
Valencia,València,Calle Suiza S/N,46024,18,Privados
Valencia,València,Calle Callosa D'En Sarria 12,46007,156,Privados
Valencia,València,Calle Doctor Manuel Candela 41,46021,192,Privados
Valencia,València,Calle Valle De La Ballestera 59,46015,300,Privados
Valencia,València,Avenida Blasco Ibáñez 14,46010,88,Privados
Valencia,València,Avenida Tres Cruces 2,46014,546,Otros Centros O Establecimientos Públicos De Dependencia Autonómica
Valencia,València,Calle Isabel De Villena 2,46011,33,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Calle San Lázaro S/N,46017,125,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Avenida Gaspar Aguilar 90,46017,539,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Avenida Fernando Abril Martorell 106,46026,1000,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Avenida Blasco Ibáñez 17,46010,582,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Avenida Campanar 66,46015,165,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,València,Calle Sant Clement 12,46015,282,Servicios E Institutos De Salud De Las Comunidades Autónomas
Valencia,Xàtiva,Carretera Xativa-Silla KM. 2,46800,273,Servicios E Institutos De Salud De Las Comunidades Autónomas
