CCAA;PROVINCIAS;MUNICIPIO;TIPO DE DISPOSITIVO;UBICACION;DIRECCION;CODIGO POSTAL;LOCALIDAD;TELEFONO;HORARIO
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Ademuz;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ADEMUZ;AVDA. VALENCIA, Nº 68;46140;ADEMUZ;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Ador;PUNTO DE ATENCIÓN CONTINUADA (PAC);CONSULTORIO LOCAL ADOR;C/ CERVANTES, Nº 25;46724;ADOR;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alaquàs;PUNTO DE ATENCIÓN CONTINUADA (PAC);C.S.I. ALAQUAS;PLAZA MÚSICO FRANCISCO TÁRREGA, S/N;46970;ALAQUÀS;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Albaida;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALBAIDA;AVDA. ROMERAL, Nº 1;46860;ALBAIDA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alberic;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALBERIC;C/ ANTONIO LLORET, Nº 60;46260;ALBERIC;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alcúdia de Crespins, l';PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD L' ALCÚDIA DE CRESPINS;AVDA. CORTS VALENCIANES, S/N;46690;ALCÚDIA DE CRESPINS (L');Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alcúdia, l';PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD L´ ALCUDIA;C/ ESQUINA BOLLONE CON MAGUNCIA, S/N;46250;ALCÚDIA (L');962980225/Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Aldaia;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALDAIA;C/ ANTIC REGNE DE VALENCIA, S/N;46960;ALDAIA;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Alfafar;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALFAFAR;C/ DELS FURS, Nº 23;46910;ALFAFAR;Urgencias 112;De 20h a 8h del día siguiente.
COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;Algemesí;PUNTO DE ATENCIÓN CONTINUADA (PAC);CENTRO SALUD ALGEMESÍ;CRUCE SANTA TERESA CON POLINYÀ, S/N;46680;ALGEMESÍ;962469225/Urgencias 112;De 20h a 8h del día siguiente.
