"num_distrito","nombre_distrito","nombre_distrito_norm","pob_total","pob_menor_16","pob_mayor_65","indice_envejecimiento","num_colegios","ratio_colegio","num_hospitales","ratio_hospitales","alquiler_m2","renta_media_hogar","esfuerzo_alquiler","num_zonas_verdes","ratio_zonas_verdes"
1,"1. Ciutat Vella","ciutat vella",27983,3334,5748,172.41,5,0.178679912804203,0,0,14.4,46088,29.99,5,0.000178679912804203
2,"2. l'Eixample","leixample",42672,5961,9797,164.35,3,0.0703037120359955,0,0,13.2,52010,24.36,3,7.03037120359955e-05
3,"3. Extramurs","extramurs",48536,6396,11414,178.46,5,0.103016317784737,0,0,10.6,43201,23.56,8,0.000164826108455579
4,"4. Campanar","campanar",39164,6296,8464,134.43,5,0.12766826677561,4,0.102134613420488,10.6,42527,23.93,19,0.000485139413747319
5,"5. la Saïdia","la saidia",47013,5961,11078,185.84,11,0.233977835917725,0,0,10.5,34130,29.53,8,0.000170165698849254
6,"6. el Pla del Real","el pla del real",30444,4715,7280,154.4,3,0.0985415845486795,0,0,11,58092,18.18,9,0.000295624753646039
7,"7. l'Olivereta","lolivereta",48686,6215,10673,171.73,10,0.205397855646387,0,0,9.6,30394,30.32,11,0.000225937641211026
8,"8. Patraix","patraix",57798,7384,12660,171.45,9,0.155714730613516,3,0.0519049102045053,9.6,36536,25.22,12,0.000207619640818021
9,"9. Jesús","jesus",51941,6489,11196,172.54,6,0.11551568125373,1,0.0192526135422884,9,32005,27,9,0.000173273521880595
10,"10. Quatre Carreres","quatre carreres",74555,10398,15749,151.46,7,0.0938904164710616,2,0.0268258332774462,10.9,34390,30.43,21,0.000281671249413185
11,"11. Poblats Marítims","poblats maritims",55486,7420,11532,155.42,15,0.270338463756623,3,0.0540676927513247,12,31660,36.39,16,0.000288361028007065
12,"12. Camins al Grau","camins al grau",65552,9534,12383,129.88,10,0.152550646814743,1,0.0152550646814742,11.1,38406,27.75,12,0.000183060776177691
13,"13. Algirós","algiros",35874,3888,9261,238.19,4,0.111501365891732,0,0,10.8,38781,26.73,8,0.000223002731783464
14,"14. Benimaclet","benimaclet",28064,3295,6528,198.12,1,0.0356328392246294,0,0,11.1,38379,27.77,4,0.000142531356898518
15,"15. Rascanya","rascanya",53566,8264,9669,117,8,0.149348467311354,0,0,9.8,33209,28.33,10,0.000186685584139193
16,"16. Benicalap","benicalap",47752,7233,8833,122.12,7,0.146590718713352,0,0,9.1,32894,26.56,8,0.000167532249958117
17,"17. Pobles del Nord","pobles del nord",6744,1020,1413,138.53,0,0,0,0,NA,42038,NA,0,0
18,"18. Pobles de l'Oest","pobles de loest",14546,2148,2772,129.05,0,0,0,0,9.4,30219,29.86,0,0
19,"19. Pobles del Sud","pobles del sud",21289,3032,4452,146.83,0,0,0,0,9.9,32240,29.48,0,0
