nombre_hospital;municipio;lat;lon
Hospital - Alzira;Alzira;39,1612923;-0,4271717
Hospital - Bétera;Bétera;39,5785165;-0,4452444
Hospital - Burjassot;Burjassot;39,5023262;-0,4083376
Hospital - Carcaixent;Carcaixent;39,0882347;-0,3552443
Hospital - Gandía;Gandía;38,9727511;-0,1754919
Hospital - Gandía;Gandía;38,9727511;-0,1754919
Hospital - Godella;Godella;39,5213556;-0,4163800
Hospital - Llíria;Llíria;39,6417234;-0,6193496
Hospital - Manises;Manises;39,4902426;-0,4609453
Hospital - Mislata;Mislata;39,4816629;-0,0422482
Hospital - Ontinyent;Ontinyent;38,8201688;-0,6030140
Hospital - Requena;Requena;39,4851364;-1,0915401
Hospital - Sagunto/Sagunt;Sagunto/Sagunt;39,6694339;-0,0235869
Hospital - San Antonio de Benagéber;San Antonio de Benagéber;39,5533971;-0,4810306
Hospital - Serra;Serra;39,6846024;-0,4310127
Hospital - València;València;39,4805003;-0,3890929
Hospital - València;València;39,4532116;-0,3375893
Hospital - València;València;39,4608289;-0,3870096
Hospital - València;València;39,4698763;-0,3504978
Hospital - València;València;39,4778885;-0,4013578
Hospital - València;València;39,4708254;-0,3338588
Hospital - València;València;39,4607669;-0,4043625
Hospital - València;València;39,4778885;-0,3253558
Hospital - València;València;39,4532475;-0,3932642
Hospital - València;València;39,4532418;-0,3948748
Hospital - València;València;39,4436988;-0,3760366
Hospital - València;València;39,4708254;-0,3338588
Hospital - València;València;39,4848664;-0,3913893
Hospital - València;València;39,4907859;-0,4035874
Hospital - Xàtiva;Xàtiva;39,0067380;-0,5102168
