"cod_municipio","nombre_municipio","nombre_municipio_norm","pob_total","pob_extranjera","pob_menor_16","pob_mayor_65","pct_extranjeros","indice_envejecimiento","pct_estudios_sup","num_colegios","ratio_colegios","distancia_centro_educativo","num_centros_salud","ratio_centros_salud","consultorio_local","num_hospitales","ratio_hospital","distancia_hospital","precio_m2_alquiler","renta_media_hogar","esfuerzo_alquiler","contratos_total","pct_contratos_agricultura","pct_contratos_industria","pct_contratos_construccion","pct_contratos_servicios","pct_hogares_100mbps","internet_100mbps_mayor90"
"46002","Ador","ador",1706,227,214,351,13.305978898007,164.018691588785,24.256444150694,1,0.586166471277843,5.55,0,0,1,0,0,7.27,3.18610021592833,28814,10.6151738991157,391,6.50602409638554,11.3253012048193,2.89156626506024,79.2771084337349,91.3544668587896,1
"46004","Agullent","agullent",2361,114,315,470,4.8284625158831,149.206349206349,17.7153920619555,1,0.423549343498518,1.8,0,0,1,0,0,4.83,2.78192214464134,30661,8.71023534410387,797,0.734394124847001,47.4908200734394,4.40636474908201,47.3684210526316,92.7331887201735,1
"46042","Aielo de Malferit","aielo de malferit",4589,526,695,794,11.4621921987361,114.244604316547,16.0050890585242,2,0.435824798431031,6.01,0,0,1,0,0,6.76,2.41366258685536,33828,6.84969872112198,1653,35.632183908046,23.5329703569268,4.05323653962492,36.7816091954023,98.0286738351254,1
"46043","Aielo de Rugat","aielo de rugat",166,15,15,49,9.03614457831325,326.666666666667,23.1,0,0,16.07,0,0,1,0,0,17.77,4,40407,9.50330388299057,36,6.52173913043478,32.6086956521739,19.5652173913043,41.304347826087,95.5223880597015,1
"46005","Alaquàs","alaquas",29537,1879,4420,5956,6.36151267901276,134.751131221719,14.9098853085745,10,0.33855841825507,0,1,0.033855841825507,0,0,0,3.66,5.30996870958894,30385,16.7766001685219,5958,1.81086519114688,19.0643863179074,10.7142857142857,68.41046277666,99.9829975346425,1
"46006","Albaida","albaida",5989,668,861,1193,11.1537819335448,138.55981416957,18.0657640232108,3,0.5009183503089,0,1,0.1669727834363,0,0,0,7.65,2.88082906054164,28854,9.58479205004496,1431,2.51572327044025,31.7260656883298,5.80013976240391,59.958071278826,93.0620985010707,1
"46007","Albal","albal",16845,1138,2894,2247,6.75571386168002,77.643400138217,15.6720107352214,6,0.356188780053428,0,1,0.0593647966755714,0,0,0,6.31,4.73633981423519,32797,13.8637260166045,3556,6.37461387250772,24.0101095197978,8.34035383319292,61.2749227745015,99.5220646805799,1
"46008","Albalat de la Ribera","albalat de la ribera",3444,372,516,684,10.801393728223,132.558139534884,16.3292847503374,2,0.580720092915215,0,0,0,1,0,0,5.65,3.03068563310185,28965,10.0447374685924,831,19.5678271308523,37.8151260504202,12.9651860744298,29.6518607442977,99.1228070175439,1
"46009","Albalat dels Sorells","albalat dels sorells",4084,250,641,821,6.12144955925563,128.08112324493,22.8489208633094,1,0.244857982370225,0,0,0,1,0,0,6.53,4.86111111111111,36540,12.7713920817369,611,17.3913043478261,14.170692431562,6.60225442834138,61.8357487922705,99.9375,1
"46011","Alberic","alberic",10710,1426,1815,1992,13.3146591970121,109.752066115702,25.4596888260255,4,0.373482726423903,0,1,0.0933706816059757,0,0,0,9.46,3.15914922493948,29043,10.4423897529246,2491,3.20769847634322,18.925421010425,5.49318364073777,72.373696872494,95.5420219244823,1
"46012","Alborache","alborache",1328,97,171,268,7.30421686746988,156.72514619883,18.0272108843537,1,0.753012048192771,3.18,0,0,1,0,0,28.86,4.47760796283094,30794,13.9588999295892,584,4.19463087248322,8.38926174496644,1.00671140939597,86.4093959731544,91.3123844731978,1
"46013","Alboraia/Alboraya","alboraya",25149,2749,4003,4084,10.9308521213567,102.023482388209,44.8486629444608,6,0.238578074674937,0,1,0.0397630124458229,1,0,0,3.33,7.03727253292689,41445,16.3005950816982,5741,1.68989547038328,17.1602787456446,5.64459930313589,75.5052264808362,99.1782489601298,1
"46014","Albuixech","albuixech",4201,388,614,900,9.23589621518686,146.579804560261,22.2772277227723,1,0.238038562247084,2.3,0,0,1,0,0,7.37,4.64363438047649,34716,12.8410214461845,3237,1.51048088779285,49.5684340320592,2.18865598027127,46.7324290998767,99.5668316831683,1
"46016","Alcàntera de Xúquer","alcantera de xuquer",1427,142,187,295,9.95094604064471,157.754010695187,13.8204924543288,1,0.700770847932726,2.86,0,0,1,0,0,8.22,2.96703296703297,27954,10.1894242267713,313,36.9047619047619,6.25,4.46428571428571,52.3809523809524,99.2982456140351,1
"46015","Alcàsser","alcasser",10396,1001,1778,1720,9.62870334744132,96.7379077615298,32.4258810367332,4,0.384763370527126,0,1,0.0961908426317815,0,0,0,10.3,4.07062138469796,30897,12.6478186532998,3740,18.475935828877,18.0748663101604,5.98930481283422,57.4598930481283,99.8785818358426,1
"46018","Alcublas","alcublas",607,14,35,208,2.30642504118616,594.285714285714,14.017094017094,1,1.64744645799012,0,0,0,1,0,0,18.75,3.2,22312,13.7683757619218,312,0.917431192660551,1.8348623853211,5.5045871559633,91.743119266055,93.6026936026936,1
"46020","Alcúdia de Crespins, l'","l'alcudia de crespins",5224,672,760,952,12.8637059724349,125.263157894737,23.2426303854875,2,0.382848392036753,0.43,1,0.191424196018377,0,0,0,7.82,3.15207949813659,28737,10.529965960995,1135,2.90748898678414,8.89867841409692,5.02202643171806,83.1718061674009,98.8206388206388,1
"46019","Alcúdia, l'","l'alcudia",12176,1289,2061,2236,10.5863994743758,108.491023774867,16.0346168805912,5,0.410643889618922,2.34,1,0.0821287779237845,0,0,0,7.81,3.56820542856167,32635,10.4963297423601,3993,22.5895316804408,16.5539694465314,4.93363385925369,55.9228650137741,99.5747395279609,1
"46021","Aldaia","aldaia",32656,2213,5676,5056,6.77670259676629,89.07681465821,14.6820767099315,11,0.336844683978442,0,2,0.0612444879960804,0,0,0,2.83,5.04195834434004,31359,15.4350585495916,22491,31.0346360766529,9.39931528166822,2.28980481081321,57.2762438308657,99.6499226573313,1
"46022","Alfafar","alfafar",21480,2894,3284,4112,13.4729981378026,125.213154689403,15.6324074636844,5,0.232774674115456,0,1,0.0465549348230912,1,0,0,2.86,5.07873225081549,28546,17.079741332526,5925,4.51939291736931,3.28836424957841,3.69308600337268,88.4991568296796,100,1
"46024","Alfara de la Baronia","alfara de la baronia",606,41,82,137,6.76567656765677,167.073170731707,15.8095238095238,1,1.65016501650165,5.2,0,0,1,0,0,10.86,3.1,28398,10.4796112402282,384,2.22222222222222,1.48148148148148,5.92592592592593,90.3703703703704,92.72030651341,1
"46025","Alfara del Patriarca","alfara del patriarca",3315,392,515,559,11.8250377073906,108.543689320388,25.3918495297806,2,0.603318250377074,0.49,0,0,1,0,0,3.66,6.84707795241498,32466,20.2463957195786,843,5.6140350877193,4.09356725146199,10.2923976608187,80,100,1
"46027","Alfarrasí","alfarrasi",1217,100,182,270,8.21692686935086,148.351648351648,14.176245210728,1,0.821692686935086,8.01,0,0,1,0,0,11.43,2.71125498753784,33336,7.8077897409297,495,1.77865612648221,77.0750988142292,2.37154150197628,18.7747035573123,96.0662525879917,1
"46023","Alfauir","alfauir",479,76,56,101,15.866388308977,180.357142857143,19.1,0,0,6.53,0,0,1,0,0,8.24,3.5,31357,10.7153107759033,130,12.1621621621622,2.02702702702703,8.10810810810811,77.7027027027027,94.3298969072165,1
"46028","Algar de Palància","algar de palancia",498,55,54,130,11.0441767068273,240.740740740741,25.3333333333333,0,0,6.28,0,0,1,0,0,12.02,2.86642544676098,30776,8.94128031222557,232,18.4738955823293,46.9879518072289,1.20481927710843,33.3333333333333,90.3083700440529,1
"46029","Algemesí","algemesi",27305,2469,4621,4993,9.04229994506501,108.050205583207,19.9477579451458,10,0.366233290606116,0,1,0.0366233290606116,1,0,0,3.35,3.5301946674857,31366,10.8046511534345,7708,6.811105345096,22.8334198235599,6.69434353918007,63.661131292164,99.962703962704,1
"46031","Alginet","alginet",14219,1273,2330,2456,8.95280962092974,105.407725321888,15.6518117451062,5,0.351642168928898,0,1,0.0703284337857796,0,0,0,12.15,3.72826710419717,31026,11.5359260621069,2878,13.416753562739,12.8258602711157,8.55057351407716,65.2068126520681,98.7656561989472,1
"46032","Almàssera","almassera",7482,408,1143,1389,5.45308740978348,121.522309711286,22.5726270001554,2,0.267308206361935,0,1,0.133654103180968,0,0,0,4.26,4.99569845964378,35078,13.6720181346087,799,8.0545229244114,24.0396530359356,11.0285006195787,56.8773234200744,99.0872210953347,1
"46033","Almiserà","almisera",260,36,28,67,13.8461538461538,239.285714285714,20.5,0,0,9.69,0,0,1,0,0,11.38,3,28876,9.97368056517523,31,18.1818181818182,0,0,81.8181818181818,91.8918918918919,1
"46034","Almoines","almoines",2473,178,450,410,7.19773554387384,91.1111111111111,19.0847127555988,1,0.404367165386171,2.08,0,0,1,0,0,3.29,3.99632524932485,31102,12.3351303432315,3607,74.1507870753935,2.15410107705054,0.828500414250207,22.8666114333057,100,1
"46035","Almussafes","almussafes",8929,593,1485,1593,6.64128121850151,107.272727272727,19.6725675495807,3,0.335983872774107,0,1,0.111994624258036,0,0,0,14.61,3.90041220986181,38533,9.71737399493249,25442,1.01403136422592,69.5240341154738,0.636717368234878,28.8252171520654,99.2271105826397,1
"46037","Alqueria de la Comtessa, l'","l'alqueria de la comtessa",1478,140,223,319,9.4722598105548,143.04932735426,16.7189952904239,1,0.6765899864682,2.11,0,0,1,0,0,4.58,4,30247,12.695473931299,601,10.7843137254902,13.8888888888889,6.37254901960784,68.9542483660131,100,1
"46017","Alzira","alzira",45451,5532,7177,8432,12.1713493652505,117.486414936603,20.055686803915,16,0.352027458141735,0,2,0.0440034322677169,0,1,0.0220017161338584,0,3.89970945758295,32904,11.3777081184039,33117,33.188392668418,24.4315608297853,2.72065706434762,39.659389437449,97.7103606182026,1
