nombre_centro;municipio;lat;lon
ZELAIETA;Abadiño-Zelaieta;43.1521143;-2.6075737
APERRIBAI;Agirre-Aperribai;43.2391734;-2.8693236
MAIZTEGI;Aita San Migel;NA;NA
JUAN OROBIOGOITIA;Aita San Migel;NA;NA
SAN NIKOLAS IKASTOLA;Algorta;NA;NA
SANTISIMA TRINIDAD;Algorta;43.3512041;-3.0107757
GOBELA IKASTOLA;Algorta;NA;NA
JUAN BAUTISTA ZABALA;Algorta;NA;NA
SAN IGNACIO;Algorta;43.3452658;-3.005524
DE ALBONIGA;Almika;NA;NA
ALONSOTEGUI;Alonsotegi;43.2409892;-2.9878321
JOSE MARIA UCELAY;Altamira-San Kristobal;43.3684813;-2.6975059
JADO;Altzaga;43.3066827;-2.9737973
ATEGORRI;Altzaga;43.3066827;-2.9737973
ANDRA MARI IKASTOLA;Amorebieta;43.2262816;-2.7338424
EL CARMELO;Amorebieta;43.2207628;-2.7320955
KARMENGO AMA;Amorebieta;43.2178265;-2.7368494
LAUAXETA IKASTOLA;Amorebieta;43.2050314;-2.7008371
AMOREBIETA-LARREA;Amorebieta;NA;NA
URRITXE;Amorebieta;43.2258813;-2.7345202
AZKORRI;Andra Mari;NA;NA
SEI EUROPA;Andra Mari;43.3588272;-3.013147
ANDRA MARI;Andra Mari;43.3657558;-3.0187955
GEROA IKASTOLA;Andra Mari;43.3610158;-3.0130753
LARRAÑAZUBI;Andra Mari;43.3451927;-2.9928625
ZUBILETA;Andra Mari;43.358412;-3.0029567
AIXERROTA;Andra Mari;43.3657558;-3.0187955
JULIO CARO BAROJA;Andra Mari;43.3560412;-3.0010411
ATXONDO;Apatamonasterio;NA;NA
AREATZA;Areatza;43.1196749;-2.7682467
ARRANKUDIAGA;Arene;NA;NA
COOPERATIVA BASAURI;Arizgoiti;NA;NA
SAN JOSE;Arizgoiti;43.2364772;-2.887246
ARIZKO IKASTOLA;Arizgoiti;43.2418656;-2.8851628
BASOZELAI-GAZTELU;Arizgoiti;43.2345359;-2.893132
Bizkotxalde;Arizgoiti;NA;NA
KAREAGA-GOIKOA;Arizgoiti;NA;NA
URIBARRI;Arizgoiti;NA;NA
ALTZAGA IKASTOLA;Arriaga;43.2984516;-2.9714833
ARRIAGA;Arriaga;NA;NA
ERANDIO;Arriaga;43.2984516;-2.9714833
ARRIGORRIAGA;Arrigorriaga;NA;NA
ARRIGORRIAGA;Arrigorriaga;43.2104634;-2.8931908
GAZTELUETA;Artatza;43.3260806;-3.0026208
GLOBAL SCHOOL;Artatza;43.3260806;-3.0026208
ARTATZA PINUETA;Artatza;43.3278502;-3.0017905
SAN BARTOLOME;Artatza;43.3321877;-2.9943328
ARTAZA-ROMO;Artatza;43.3248269;-3.0071079
POLITEKNIKA IKASTEGIA TXORIERRI S. COOP.;Arteaga Derio;43.2943093;-2.8804743
DERIO;Arteaga Derio;43.2917575;-2.8832235
TXORIERRI;Arteaga Derio;43.2913987;-2.882777
ZAMUDIO;Arteaga (San Martín);43.2827827;-2.8633726
BARRIADA ASTERRICA;Asterrika;NA;NA
IGNACIO ALDEKOA;Astrabudua;43.3165851;-2.980574
ASTRABUDUA;Astrabudua;43.3165851;-2.980574
URREGARAI;Aulesti;43.2946226;-2.5635719
ZUBI-ZAHARRA IKASTOLA;Balmaseda;43.1950773;-3.1944787
ESCUELA MENDIA;Balmaseda;NA;NA
BAGABILTZA;Balmaseda;43.1948399;-3.1941506
MENDIA;Balmaseda;43.1921884;-3.1985882
BALMASEDA;Balmaseda;NA;NA
BARRUTIA;Barrutia;43.3248595;-2.6564999
BARRUTIALDE;Barrutia;43.3248323;-2.6560129
GORONDAGANE;Basozabal;NA;NA
LAUKARIZ;Basozabal;NA;NA
COLEGIO DE EDUCACIÓN PRIMARIA DE Bekea;Bekea;NA;NA
BERANGO-MERANA;Berango;43.365262799999996;-2.9941717
JOSE DONE IKASTETXEA;Bermeo;NA;NA
SAGRADO CORAZON;Bermeo;43.4567305;-2.7519917
BERMEOKO HERRI ESKOLA;Bermeo;NA;NA
LEKEITIO;Bermeo;NA;NA
LEARRETA-MARKINA;Berriz-Olakueta;NA;NA
BERRIZ;Berriz-Olakueta;NA;NA
ABUSU IKASTOLA;Bilbao;NA;NA
AMOR MISERICORDIOSO;Bilbao;43.2552382;-2.9338876
ANGELES CUSTODIOS;Bilbao;43.2559997;-2.917645
ARTXANDAPE IKASTOLA;Bilbao;43.2666398;-2.9238133
BEGOÑAZPI IKASTOLA;Bilbao;43.2612685;-2.9053301
BERRIO-OTXOA;Bilbao;43.2511036;-2.9171302
CALASANCIO;Bilbao;43.2654349;-2.9338167
EL AVE MARIA;Bilbao;43.2613798;-2.9100304
ESCLAVAS SC-FATIMA;Bilbao;43.2668655;-2.9250803
HIJAS DE LA CARIDAD-NTRA.SRA.DE BEGOÑA;Bilbao;NA;NA
IKASBIDE;Bilbao;43.259798;-2.9412569
JESUITINAS BILBAO LA INMACULADA;Bilbao;43.2638172;-2.9082751
JESUS MARIA;Bilbao;43.2738835;-2.9327621
KIRIKIÑO IKASTOLA;Bilbao;NA;NA
LA SALLE-BILBAO;Bilbao;43.2703726;-2.9545863
MADRE DE DIOS;Bilbao;43.2798567;-2.9568813
MARISTAK BILBAO;Bilbao;43.2564098;-2.9170622
NUESTRA SEÑORA DEL CARMEN;Bilbao;43.260312;-2.9414172
NUESTRA SEÑORA DEL PILAR;Bilbao;43.2612173;-2.9374111
PRESENTACION DE MARIA;Bilbao;43.2569863;-2.9221296
PUREZA DE MARÍA;Bilbao;43.2623802;-2.9464555
SAGRADO CORAZON;Bilbao;43.2492009;-2.9420482
SALESIANOS DEUSTO;Bilbao;43.2718672;-2.9532544
SCIENTIA SAN PEDRO;Bilbao;43.2688411;-2.9296432
TRUEBA DE ARTXANDA;Bilbao;43.2719412;-2.9142191
URRETXINDORRA IKASTOLA;Bilbao;43.2491257;-2.9307635
VERA CRUZ;Bilbao;NA;NA
Agonza Bilbao;Bilbao;43.2511036;-2.9171302
ALMI;Bilbao;43.2717983;-2.9487384
ARANGOYA;Bilbao;43.2639458;-2.9332112
ARCE;Bilbao;43.2582262;-2.9259334
ARMENGOL;Bilbao;43.2572029;-2.9296722
BAGABILTZA;Bilbao;43.2563108;-2.9001211
CEINMARK;Bilbao;43.2580149;-2.9201104
CRUZ ROJA;Bilbao;43.2601466;-2.9269285
ESCUELA SUPERIOR DE HOSTELERIA BILBAO;Bilbao;43.2794121;-2.9407739
FERNANDO;Bilbao;NA;NA
GRUPO ALBOR-COHS;Bilbao;43.2668655;-2.9250803
HERMANOS LARRINAGA S.L.;Bilbao;NA;NA
JURITECNIA;Bilbao;43.2597944;-2.9229945
LICEO JEAN MONNET;Bilbao;NA;NA
MARIA INMACULADA;Bilbao;NA;NA
MIKELDI;Bilbao;43.257697;-2.9428692
OTXARKOAGA;Bilbao;43.2621174;-2.8995395
SAN LUIS BATXILERGOA;Bilbao;43.2616548;-2.9393785
SAN LUIS LANBIDE HEZIKETA;Bilbao;43.2616548;-2.9393785
SANTA MARIA DE ARTAGAN;Bilbao;43.2596064;-2.9113113
SOPEÑA-BILBAO;Bilbao;NA;NA
ARANGOITI;Bilbao;43.2753288;-2.9490689
ARTATSE;Bilbao;43.2569838;-2.899026
BASURTO;Bilbao;43.2586164;-2.9488931
BIRJINETXE;Bilbao;43.2585082;-2.9033394
CERVANTES;Bilbao;43.2670785;-2.932298
COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA DE Bilbao;Bilbao;NA;NA
DEUSTO;Bilbao;43.2699678;-2.9514407
ELEJABARRI;Bilbao;43.2532646;-2.9492979
GABRIEL ARESTI;Bilbao;43.2423504;-2.9502852
INDAUTXUKO ESKOLA;Bilbao;43.2580586;-2.9427003
INGENIERO JOSE ORBEGOZO GOROSTIDI;Bilbao;43.2452933;-2.948728
INTXIXU IKASTOLA;Bilbao;43.279224;-2.963736
IRUARTETA;Bilbao;43.252301;-2.9344821
JUAN MANUEL SANCHEZ MARCOS;Bilbao;43.2591242;-2.9352702
LUIS BRIÑAS-SANTUTXU;Bilbao;43.2514161;-2.9106228
MAESTRA ISABEL GALLEGO DE GORRIA;Bilbao;NA;NA
MAESTRO GARCIA RIVERO;Bilbao;43.2544909;-2.9217462
MINA DEL MORRO;Bilbao;43.2490378;-2.9138957
MIRIBILLA;Bilbao;NA;NA
MUJIKA;Bilbao;NA;NA
OTXARKOAGA;Bilbao;43.2590503;-2.9012726
PIO BAROJA;Bilbao;43.2538804;-2.9081163
SAN INAZIO/ SAN IGNACIO;Bilbao;43.2826987;-2.9617574
SRA. VIUDA DE EPALZA;Bilbao;43.2670535;-2.9246329
