municipio,distancia_centro_educativo,distancia_hospital
Abadiño,0,5.04
Abanto y Ciérvana-Abanto Zierbena,0.47,4.04
Ajangiz,1.58,13.82
Alonsotegi,0,3.78
Amorebieta-Etxano,0,8.85
Amoroto,3.76,17.93
Arakaldo,0,0
Arantzazu,1,7.76
Areatza,0,12.02
Arrankudiaga,4.68,9.47
Arratzu,1.09,13.12
Arrieta,6.25,9
Arrigorriaga,0,5.95
Artea,0,10.39
Artzentales,1.27,17.85
Atxondo,3.02,5.13
Aulesti,0,14.26
Bakio,6.45,7.52
Balmaseda,0,19.78
Barakaldo,0,0
Barrika,2.81,2.84
Basauri,0.68,3.97
Bedia,2.11,2.13
Berango,0,3.58
Bermeo,0,0
Berriatua,0.48,17.26
Berriz,3.32,1.95
Bilbao,0,0
Busturia,0,4.9
Derio,0,2.57
Dima,2.84,10.48
Durango,0,6.8
Ea,0,12.12
Elantxobe,3.3,7.02
Elorrio,0,4.25
Erandio,0,0
Ereño,2.71,11.74
Ermua,0,4.32
Errigoiti,3.53,11.04
Etxebarri,0.74,2.2
Etxebarria,0.24,11.23
Forua,1.91,10.08
Fruiz,5.62,7.08
Galdakao,0,0
Galdames,5.19,9.7
Gamiz-Fika,4.51,3.58
Garai,0,5.78
Gatika,2.63,6.4
Gautegiz Arteaga,1.57,8.32
Gernika-Lumo,0,12.56
Getxo,0.17,3.29
Gizaburuaga,3.38,17.99
Gordexola,2.97,13.55
Gorliz,0.59,0
Güeñes,0,12.17
Ibarrangelu,1.9,8.11
Igorre,0.45,7.35
Ispaster,0,15.71
Iurreta,0.42,6.89
Izurtza,1.34,7.46
Karrantza Harana/Valle de Carranza,0.11,29.31
Kortezubi,1.54,10.6
Lanestosa,6.31,35.52
Larrabetzu,0.1,4.54
Laukiz,0.18,4.46
Leioa,0.16,2.56
Lekeitio,0,18.74
Lemoa,3.52,3.53
Lemoiz,0.09,3.4
Lezama,0.09,2.56
Loiu,2.16,3.07
Mallabia,1.65,2.86
Mañaria,3.68,9.61
Markina-Xemein,0,11.81
Maruri-Jatabe,3.29,6.93
Mendata,4.49,14.67
Mendexa,1.9,20.57
Meñaka,3.59,9.1
Morga,5.64,8.42
Mundaka,0,2.52
Mungia,0,7.09
Munitibar-Arbatzegi Gerrikaitz,0,10.47
Murueta,2.13,8.43
Muskiz,0.29,7.96
Muxika,3.17,11.73
Nabarniz,3.44,15.87
Ondarroa,0,19.98
Orozko,0.19,15.06
Ortuella,0,2.85
Otxandio,0,16.51
Plentzia,1.6,1.45
Portugalete,0,0.81
Santurtzi,0,0
Sestao,0,1.78
Sondika,1.11,3.92
Sopela,0.72,2.53
Sopuerta,3.98,14.03
Sukarrieta,1.47,3.79
Trucios-Turtzioz,0.38,19.58
Ubide,3.54,19.15
Ugao-Miraballes,3.41,8.33
Urduliz,0.13,0
Urduña/Orduña,0,29.79
Valle de Trápaga-Trapagaran,0,2.62
Zaldibar,3.92,0
Zalla,0.64,15.34
Zamudio,0.08,0
Zaratamo,1.61,4.69
Zeanuri,0.27,14.99
Zeberio,6.16,8.7
Zierbena,3.34,5.45
Ziortza-Bolibar,4,9.14
