nombre_hospital;municipio;lat;lon
Hospital - Barakaldo;Barakaldo;43,2820845;-2,9827737
Hospital - Barakaldo;Barakaldo;43,2969436;-2,9934568
Hospital - Bermeo;Bermeo;43,4226671;-2,7228639
Hospital - Bilbao;Bilbao;43,2625663;-2,9477698
Hospital - Bilbao;Bilbao;43,2583508;-2,9406319
Hospital - Bilbao;Bilbao;4,3268427;-2,9278286
Hospital - Bilbao;Bilbao;43,2631551;-0,0293431
Hospital - Bilbao;Bilbao;43,2592657;-2,9390091
Hospital - Bilbao;Bilbao;43,2583624;-2,9154253
Hospital - Bilbao;Bilbao;43,2676127;-2,9520151
Hospital - Bilbao;Bilbao;43,2589214;-0,2942219
Hospital - Bilbao;Bilbao;4,3262339;-2,9561522
Hospital - Bilbao;Bilbao;43,2653171;-2,9040812
Hospital - Erandio;Erandio;43,3296887;-2,9532864
Hospital - Galdakao;Galdakao;43,2237033;-2,8179524
Hospital - Gorliz;Gorliz;43,4179462;-2,9438960
Hospital - Santurtzi;Santurtzi;43,3246072;-3,0261722
Hospital - Santurtzi;Santurtzi;43,3246072;-3,0261722
Hospital - Urduliz;Urduliz;43,3733819;-2,9540322
Hospital - Zaldibar;Zaldibar;43,1683335;-2,5499465
Hospital - Zamudio;Zamudio;43,2905361;-2,8553542
