codigo_ine,municipio,provincia,lat,lon
46001,Ademuz,Valencia,40.0631649,-1.2856816
46002,Ador,Valencia,38.9195136,-0.2242702
46004,Agullent,Valencia,38.8232056,-0.5475331
46042,Aielo de Malferit,Valencia,38.8803632,-0.5911695
46043,Aielo de Rugat,Valencia,38.8820575,-0.3442639
46005,Alaquàs,Valencia,39.4572928,-0.46098
46006,Albaida,Valencia,38.838669,-0.5181895
46007,Albal,Valencia,39.3956438,-0.4150821
46008,Albalat de la Ribera,Valencia,39.2012627,-0.3866468
46009,Albalat dels Sorells,Valencia,39.5436955,-0.3461912
46010,Albalat dels Tarongers,Valencia,39.7028908,-0.3371981
46011,Alberic,Valencia,39.1164369,-0.5201838
46012,Alborache,Valencia,39.3917086,-0.7711311
46013,Alboraia/Alboraya,Valencia,39.5010119,-0.3499577
46014,Albuixech,Valencia,39.5442852,-0.3247783
46016,Alcàntera de Xúquer,Valencia,39.068793,-0.5620285
46015,Alcàsser,Valencia,39.3677124,-0.4446741
46018,Alcublas,Valencia,39.7979196,-0.7025736
46020,"Alcúdia de Crespins, l'",Valencia,38.9691663,-0.5865122
46019,"Alcúdia, l'",Valencia,39.1940168,-0.5071025
46021,Aldaia,Valencia,39.4647886,-0.4607604
46022,Alfafar,Valencia,39.4200749,-0.3891355
46024,Alfara de la Baronia,Valencia,39.763024,-0.3553553
46025,Alfara del Patriarca,Valencia,39.544129,-0.3856585
46026,Alfarb,Valencia,39.2767738,-0.5605178
46027,Alfarrasí,Valencia,38.9043757,-0.4967679
46023,Alfauir,Valencia,38.9283659,-0.2516595
46028,Algar de Palància,Valencia,39.7810953,-0.367464
46029,Algemesí,Valencia,39.190758,-0.4357471
46030,Algímia d'Alfara,Valencia,39.7536532,-0.3629841
46031,Alginet,Valencia,39.2651129,-0.4716912
46032,Almàssera,Valencia,39.5118213,-0.3562374
46033,Almiserà,Valencia,38.9161848,-0.2848533
46034,Almoines,Valencia,38.9435394,-0.1817019
46035,Almussafes,Valencia,39.2924334,-0.4138577
46036,Alpuente,Valencia,39.8759884,-1.0137762
46037,"Alqueria de la Comtessa, l'",Valencia,38.9353629,-0.1533346
46017,Alzira,Valencia,39.151212,-0.4346556
46038,Andilla,Valencia,39.8357785,-0.814366
46039,Anna,Valencia,39.0204311,-0.6461361
46040,Antella,Valencia,39.0792449,-0.5926271
46041,Aras de los Olmos,Valencia,39.9242294,-1.1332322
46003,Atzeneta d'Albaida,Valencia,38.8328755,-0.4971297
46044,Ayora,Valencia,39.0596612,-1.057216
46046,Barx,Valencia,39.0148124,-0.302021
46045,Barxeta,Valencia,39.0225353,-0.4165167
46047,Bèlgida,Valencia,38.8595605,-0.47474
46048,Bellreguard,Valencia,38.9462948,-0.1615484
46049,Bellús,Valencia,38.9452803,-0.48611
46050,Benagéber,Valencia,39.7072913,-1.1005101
46051,Benaguasil,Valencia,39.5942907,-0.588849
46052,Benavites,Valencia,39.7407299,-0.2585095
46053,Beneixida,Valencia,39.0573274,-0.5487333
46054,Benetússer,Valencia,39.4228928,-0.3974783
46055,Beniarjó,Valencia,38.9324698,-0.1870182
46056,Beniatjar,Valencia,38.8479764,-0.4168998
46057,Benicolet,Valencia,38.9193454,-0.3460118
46904,Benicull de Xúquer,Valencia,39.1853985,-0.3821957
46060,Benifaió,Valencia,39.2854089,-0.426264
46059,Benifairó de la Valldigna,Valencia,39.0533163,-0.302872
46058,Benifairó de les Valls,Valencia,39.7277183,-0.2686309
46061,Beniflá,Valencia,38.9282759,-0.1884609
46062,Benigànim,Valencia,38.9438844,-0.4441621
46063,Benimodo,Valencia,39.2135344,-0.5267415
46064,Benimuslem,Valencia,39.1319694,-0.4923176
46065,Beniparrell,Valencia,39.3819923,-0.4119964
46066,Benirredrà,Valencia,38.9617924,-0.1926545
46067,Benissanó,Valencia,39.6133078,-0.5752895
46068,Benissoda,Valencia,38.832174,-0.5302439
46069,Benissuera,Valencia,38.9127559,-0.477434
46070,Bétera,Valencia,39.5917307,-0.4622695
46071,Bicorp,Valencia,39.1323971,-0.7877353
46072,Bocairent,Valencia,38.7669181,-0.610892
46073,Bolbaite,Valencia,39.0609622,-0.6744835
46074,Bonrepòs i Mirambell,Valencia,39.5174981,-0.3655773
46075,Bufali,Valencia,38.8685814,-0.5169155
46076,Bugarra,Valencia,39.6085472,-0.7758284
46077,Buñol,Valencia,39.4189582,-0.7909637
46078,Burjassot,Valencia,39.5090599,-0.4108581
46079,Calles,Valencia,39.7254187,-0.973942
46080,Camporrobles,Valencia,39.6472415,-1.4009335
46081,Canals,Valencia,38.9623954,-0.58321750000000006
46082,Canet d'En Berenguer,Valencia,39.6804554,-0.2209621
46083,Carcaixent,Valencia,39.1209651,-0.4472814
46084,Càrcer,Valencia,39.069966,-0.5678287
46085,Carlet,Valencia,39.2251696,-0.5202051
46086,Carrícola,Valencia,38.8403002,-0.4720736
46087,Casas Altas,Valencia,40.0395154,-1.2629814
46088,Casas Bajas,Valencia,40.0237302,-1.2604112
46089,Casinos,Valencia,39.699563499999996,-0.7073505
46257,Castelló,Valencia,40.2518568,-0.0615052
46090,Castelló de Rugat,Valencia,38.874757,-0.3818165
46091,Castellonet de la Conquesta,Valencia,38.9154896,-0.2630171
46092,Castielfabib,Valencia,40.1304259,-1.3041318
46093,Catadau,Valencia,39.2748065,-0.5710963
46094,Catarroja,Valencia,39.4033747,-0.4028759
46095,Caudete de las Fuentes,Valencia,39.5591102,-1.2803019
46096,Cerdà,Valencia,38.9858731,-0.5739568
46107,Chella,Valencia,39.0419132,-0.6590644
46106,Chelva,Valencia,39.7486658,-0.9976861
46108,Chera,Valencia,39.5931474,-0.9729021
46109,Cheste,Valencia,39.4939368,-0.6842101
46111,Chiva,Valencia,39.4726098,-0.7178348
46112,Chulilla,Valencia,39.6563771,-0.8921028
46097,Cofrentes,Valencia,39.2299883,-1.0619387
46098,Corbera,Valencia,39.1580768,-0.3540631
46099,Cortes de Pallás,Valencia,39.2423365,-0.9403895
46100,Cotes,Valencia,39.0703715,-0.5747878
46105,Cullera,Valencia,39.1647217,-0.2542313
46113,Daimús,Valencia,38.9687811,-0.1534297
46114,Domeño,Valencia,39.6600701,-0.6720763
46115,Dos Aguas,Valencia,39.2890143,-0.8004748
46116,"Eliana, l'",Valencia,39.5616244,-0.5359523
46117,Emperador,Valencia,39.5540582,-0.3388611
46118,Enguera,Valencia,38.9804366,-0.6894299
46119,"Énova, l'",Valencia,39.0502003,-0.4773298
46120,Estivella,Valencia,39.7133707,-0.3485272
46121,Estubeny,Valencia,39.0174058,-0.6237803
46122,Faura,Valencia,39.7262295,-0.2611236
46123,Favara,Valencia,39.1273559,-0.2916155
46126,Foios,Valencia,39.5381541,-0.3561396
46128,"Font de la Figuera, la",Valencia,38.5644668,-0.3787903
46127,"Font d'En Carròs, la",Valencia,38.9166494,-0.1683368
46124,Fontanars dels Alforins,Valencia,38.7841381,-0.7855195
46125,Fortaleny,Valencia,39.1838545,-0.3151293
46129,Fuenterrobles,Valencia,39.5851621,-1.364704
46131,Gandia,Valencia,38.9675925,-0.1803423
46902,Gátova,Valencia,39.7696335,-0.5205666
46130,Gavarda,Valencia,39.0901402,-0.5450696
46132,"Genovés, el",Valencia,39.7122485,-0.7018937
46133,Gestalgar,Valencia,39.6042104,-0.834243
46134,Gilet,Valencia,39.6786015,-0.32506
46135,Godella,Valencia,39.5184276,-0.4103168
46136,Godelleta,Valencia,39.4218028,-0.6867262
46137,"Granja de la Costera, la",Valencia,38.9962573,-0.5560668
46138,Guadasséquies,Valencia,38.9245811,-0.4865189
46139,Guadassuar,Valencia,39.1857839,-0.4778181
46140,Guardamar de la Safor,Valencia,38.9615238,-0.1488153
46141,Higueruelas,Valencia,39.7900911,-0.8617383
46142,Jalance,Valencia,39.1909885,-1.0772386
46144,Jarafuel,Valencia,39.1398863,-1.0728491
46154,Llanera de Ranes,Valencia,38.9928696,-0.5718391
46155,Llaurí,Valencia,39.1469364,-0.3299823
46147,Llíria,Valencia,39.6251478,-0.5952749
46152,Llocnou de la Corona,Valencia,39.4204988,-0.3819899
46153,Llocnou de Sant Jeroni,Valencia,38.9130107,-0.2841276
46151,Llocnou d'En Fenollet,Valencia,39.0124141,-0.4664784
46156,Llombai,Valencia,39.2816214,-0.5731796
46157,"Llosa de Ranes, la",Valencia,39.0185366,-0.5335879
46150,Llutxent,Valencia,38.9427057,-0.3565953
46148,Loriguilla,Valencia,39.4905062,-0.5722427
46149,Losa del Obispo,Valencia,39.695763,-0.8710594
46158,Macastre,Valencia,39.3820383,-0.7854865
46159,Manises,Valencia,39.492989,-0.4621429
46160,Manuel,Valencia,39.0513265,-0.4909038
46161,Marines,Valencia,39.6755957,-0.5612995
46162,Massalavés,Valencia,39.1420011,-0.522717
46163,Massalfassar,Valencia,39.5579365,-0.3258587
46164,Massamagrell,Valencia,39.5703995,-0.3302101
46165,Massanassa,Valencia,39.4108561,-0.4000846
46166,Meliana,Valencia,39.528475,-0.3488606
46167,Millares,Valencia,39.2375388,-0.7736084
46168,Miramar,Valencia,38.9505154,-0.1415109
46169,Mislata,Valencia,39.4751444,-0.4179125
46170,Mogente/Moixent,Valencia,38.8753162,-0.7495353
46171,Montcada/Moncada,Valencia,39.5450484,-0.3941015
46173,Montaverner,Valencia,38.8879955,-0.4932477
46174,Montesa,Valencia,38.9481556,-0.6492732
46175,Montitxelvo/Montichelvo,Valencia,38.891134,-0.3396607
46176,Montroi/Montroy,Valencia,39.3406742,-0.6138111
46172,Montserrat,Valencia,39.3576494,-0.6031
46177,Museros,Valencia,39.5603068,-0.3365952
46178,Nàquera/Náquera,Valencia,39.6583957,-0.4255343
46179,Navarrés,Valencia,39.1024656,-0.6953201
46180,Novelé/Novetlè,Valencia,38.9806142,-0.5474381
46181,Oliva,Valencia,38.9202443,-0.1208981
46183,"Olleria, l'",Valencia,38.9144633,-0.5535651
46182,Olocau,Valencia,39.7006763,-0.531206
46184,Ontinyent,Valencia,38.8208523,-0.6099929
46185,Otos,Valencia,38.8537863,-0.444257
46186,Paiporta,Valencia,39.4279722,-0.4184254
46187,Palma de Gandía,Valencia,38.9249523,-0.2210245
46188,Palmera,Valencia,38.9417448,-0.1537426
46189,"Palomar, el",Valencia,38.0880466,-0.6532852
46190,Paterna,Valencia,39.5039227,-0.4421014
46191,Pedralba,Valencia,39.6053522,-0.7260062
46192,Petrés,Valencia,39.6839991,-0.3102425
46193,Picanya,Valencia,39.4353965,-0.4358777
46194,Picassent,Valencia,39.363519,-0.4611789
46195,Piles,Valencia,38.9407693,-0.1325845
46196,Pinet,Valencia,38.9827649,-0.3383891
46199,"Pobla de Farnals, la",Valencia,39.5788818,-0.3296332
46202,"Pobla de Vallbona, la",Valencia,39.585611,-0.551639
46200,"Pobla del Duc, la",Valencia,38.9010354,-0.3907092
46203,"Pobla Llarga, la",Valencia,39.08528,-0.4765326
46197,Polinyà de Xúquer,Valencia,39.1957935,-0.3698201
46198,Potries,Valencia,38.915234,-0.1949104
46205,Puçol,Valencia,39.6172229,-0.3028272
46201,Puebla de San Miguel,Valencia,40.044968,-1.1443952
46204,"Puig de Santa Maria, el",Valencia,39.5885981,-0.3033266
46101,Quart de les Valls,Valencia,39.7398739,-0.2727995
46102,Quart de Poblet,Valencia,39.4827253,-0.4438854
46103,Quartell,Valencia,39.7373882,-0.2640069
