codigo_ine,municipio,provincia,lat,lon
48001,Abadiño,Bizkaia,43.1523596,-2.6079523
48002,Abanto y Ciérvana-Abanto Zierbena,Bizkaia,43.3188635,-3.075375
48911,Ajangiz,Bizkaia,43.3053704,-2.6657586
48912,Alonsotegi,Bizkaia,43.2459197,-2.9884396
48003,Amorebieta-Etxano,Bizkaia,43.2158831,-2.7094577
48004,Amoroto,Bizkaia,43.3277464,-2.5147793
48005,Arakaldo,Bizkaia,43.152773,-2.9349498
48006,Arantzazu,Bizkaia,43.156731,-2.7905895
48093,Areatza,Bizkaia,43.1214494,-2.7694128
48009,Arrankudiaga,Bizkaia,43.1731446,-2.9199144
48914,Arratzu,Bizkaia,43.3189596,-2.6452172
48010,Arrieta,Bizkaia,43.3416679,-2.7693167
48011,Arrigorriaga,Bizkaia,43.2065921,-2.8873537
48023,Artea,Bizkaia,43.1335118,-2.7839858
48008,Artzentales,Bizkaia,43.2511476,-3.2219332
48091,Atxondo,Bizkaia,43.1302284,-2.5856042
48070,Aulesti,Bizkaia,43.296423,-2.5628139
48012,Bakio,Bizkaia,43.4219186,-2.8157899
48090,Balmaseda,Bizkaia,43.1940413,-3.1945492
48013,Barakaldo,Bizkaia,43.2949177,-2.9887476
48014,Barrika,Bizkaia,43.3988863,-2.9673176
48015,Basauri,Bizkaia,43.2306849,-2.8844587
48092,Bedia,Bizkaia,43.2084398,-2.8019783
48016,Berango,Bizkaia,43.3628719,-2.9957746
48017,Bermeo,Bizkaia,43.4194242,-2.7231562
48018,Berriatua,Bizkaia,43.3123614,-2.4699443
48019,Berriz,Bizkaia,43.1690476,-2.57392
48020,Bilbao,Bizkaia,43.2630018,-2.9350039
48021,Busturia,Bizkaia,43.3823418,-2.6982634
48901,Derio,Bizkaia,43.2907714,-2.8870439
48026,Dima,Bizkaia,43.1430694,-2.7508974
48027,Durango,Bizkaia,43.1707065,-2.6334897
48028,Ea,Bizkaia,43.3804335,-2.5848533
48031,Elantxobe,Bizkaia,43.4031122,-2.6404556
48032,Elorrio,Bizkaia,43.1304644,-2.5426453
48902,Erandio,Bizkaia,43.3172935,-2.9578103
48033,Ereño,Bizkaia,43.3510437,-2.6162545
48034,Ermua,Bizkaia,43.1862849,-2.5027614
48079,Errigoiti,Bizkaia,43.3185225,-2.7247594
48029,Etxebarri,Bizkaia,43.2526907,-2.883221
48030,Etxebarria,Bizkaia,43.2549832,-2.4787005
48906,Forua,Bizkaia,43.3353442,-2.6889288
48035,Fruiz,Bizkaia,43.3279874,-2.7847278
48036,Galdakao,Bizkaia,43.2332639,-2.8453385
48037,Galdames,Bizkaia,43.2541103,-3.097637
48038,Gamiz-Fika,Bizkaia,43.3138723,-2.8248188
48039,Garai,Bizkaia,43.1941174,-2.6117318
48040,Gatika,Bizkaia,43.3637855,-2.8761795
48041,Gautegiz Arteaga,Bizkaia,43.368057,-2.6525285
48046,Gernika-Lumo,Bizkaia,43.3143976,-2.6778593
48044,Getxo,Bizkaia,43.3513508,-3.0086607
48047,Gizaburuaga,Bizkaia,43.331607,-2.5391336
48042,Gordexola,Bizkaia,43.179851,-3.0737749
48043,Gorliz,Bizkaia,43.4127349,-2.9375015
48045,Güeñes,Bizkaia,43.2090164,-3.094502
48048,Ibarrangelu,Bizkaia,43.3899697,-2.6332481
48094,Igorre,Bizkaia,43.1642445,-2.7783435
48049,Ispaster,Bizkaia,43.3631486,-2.5468679
48910,Iurreta,Bizkaia,43.1766676,-2.6339298
48050,Izurtza,Bizkaia,43.1544933,-2.6397796
48022,Karrantza Harana/Valle de Carranza,Bizkaia,43.2248771,-3.3606523
48907,Kortezubi,Bizkaia,43.3408832,-2.6554179
48051,Lanestosa,Bizkaia,43.2184716,-3.4391344
48052,Larrabetzu,Bizkaia,43.2612471,-2.7959022
48053,Laukiz,Bizkaia,43.3521257,-2.9073748
48054,Leioa,Bizkaia,43.3271048,-2.9846079
48057,Lekeitio,Bizkaia,43.3637081,-2.5059965
48055,Lemoa,Bizkaia,43.2098775,-2.7788097
48056,Lemoiz,Bizkaia,43.4120254,-2.9026473
48081,Lezama,Bizkaia,43.2743248,-2.8329246
48903,Loiu,Bizkaia,43.3165195,-2.9199869
48058,Mallabia,Bizkaia,43.1895207,-2.5298369
48059,Mañaria,Bizkaia,43.1383492,-2.6608199
48060,Markina-Xemein,Bizkaia,43.2675586,-2.4974864
48061,Maruri-Jatabe,Bizkaia,43.3793511,-2.8689304
48062,Mendata,Bizkaia,43.2811957,-2.6437276
48063,Mendexa,Bizkaia,43.3482604,-2.4897641
48064,Meñaka,Bizkaia,43.3627405,-2.8023477
48066,Morga,Bizkaia,43.3000301,-2.752374
48068,Mundaka,Bizkaia,43.407824,-2.6992833
48069,Mungia,Bizkaia,43.3540663,-2.8464157
48007,Munitibar-Arbatzegi Gerrikaitz,Bizkaia,43.25674,-2.5948191
48908,Murueta,Bizkaia,43.3525749,-2.6828411
48071,Muskiz,Bizkaia,43.3230375,-3.1243029
48067,Muxika,Bizkaia,43.2926038,-2.7083505
48909,Nabarniz,Bizkaia,43.3215488,-2.5844368
48073,Ondarroa,Bizkaia,43.3221481,-2.4221989
48075,Orozko,Bizkaia,43.1068473,-2.9120602
48083,Ortuella,Bizkaia,43.3105667,-3.0555981
48072,Otxandio,Bizkaia,43.0408347,-2.6542222
48077,Plentzia,Bizkaia,43.4051753,-2.9478553
48078,Portugalete,Bizkaia,43.3189646,-3.0198633
