Municipios de 500 habitantes o más;Sexo;País de nacimiento;Nivel de estudios;Periodo;Total
48001 Abadiño;Total;Total;Total;2022;6.550
48001 Abadiño;Total;Total;Sin estudios;2022;89
48001 Abadiño;Total;Total;Educación primaria;2022;635
48001 Abadiño;Total;Total;Primera etapa de Educación Secundaria y similar;2022;1.938
48001 Abadiño;Total;Total;Segunda etapa de educación secundaria, con orientación general;2022;522
48001 Abadiño;Total;Total;Segunda etapa de educación secundaria con orientación profesional, Educación postsecundaria no superior;2022;731
48001 Abadiño;Total;Total;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;2022;1.279
48001 Abadiño;Total;Total;Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios y equivalentes;2022;651
48001 Abadiño;Total;Total;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;2022;507
48001 Abadiño;Total;Total;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;2022;162
48001 Abadiño;Total;Total;Doctorado universitario;2022;36
48001 Abadiño;Total;España;Total;2022;5.959
48001 Abadiño;Total;España;Sin estudios;2022;57
48001 Abadiño;Total;España;Educación primaria;2022;532
48001 Abadiño;Total;España;Primera etapa de Educación Secundaria y similar;2022;1.793
48001 Abadiño;Total;España;Segunda etapa de educación secundaria, con orientación general;2022;432
48001 Abadiño;Total;España;Segunda etapa de educación secundaria con orientación profesional, Educación postsecundaria no superior;2022;661
48001 Abadiño;Total;España;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;2022;1.236
48001 Abadiño;Total;España;Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios y equivalentes;2022;599
48001 Abadiño;Total;España;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;2022;461
48001 Abadiño;Total;España;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;2022;154
48001 Abadiño;Total;España;Doctorado universitario;2022;34
48001 Abadiño;Total;Extranjero;Total;2022;591
48001 Abadiño;Total;Extranjero;Sin estudios;2022;32
48001 Abadiño;Total;Extranjero;Educación primaria;2022;103
48001 Abadiño;Total;Extranjero;Primera etapa de Educación Secundaria y similar;2022;145
48001 Abadiño;Total;Extranjero;Segunda etapa de educación secundaria, con orientación general;2022;90
48001 Abadiño;Total;Extranjero;Segunda etapa de educación secundaria con orientación profesional, Educación postsecundaria no superior;2022;70
48001 Abadiño;Total;Extranjero;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;2022;43
48001 Abadiño;Total;Extranjero;Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios y equivalentes;2022;52
48001 Abadiño;Total;Extranjero;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;2022;46
48001 Abadiño;Total;Extranjero;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;2022;8
48001 Abadiño;Total;Extranjero;Doctorado universitario;2022;2
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Total;2022;8.260
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Sin estudios;2022;130
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Educación primaria;2022;743
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Primera etapa de Educación Secundaria y similar;2022;2.392
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Segunda etapa de educación secundaria, con orientación general;2022;724
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Segunda etapa de educación secundaria con orientación profesional, Educación postsecundaria no superior;2022;1.210
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;2022;1.513
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios y equivalentes;2022;807
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;2022;545
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;2022;161
48002 Abanto y Ciérvana-Abanto Zierbena;Total;Total;Doctorado universitario;2022;35
48002 Abanto y Ciérvana-Abanto Zierbena;Total;España;Total;2022;7.866
48002 Abanto y Ciérvana-Abanto Zierbena;Total;España;Sin estudios;2022;84
48002 Abanto y Ciérvana-Abanto Zierbena;Total;España;Educación primaria;2022;693
