Municipios de 500 habitantes o más;Sexo;País de nacimiento;Nivel de estudios;Periodo;Total
46001 Ademuz;Total;Total;Total;2022;874
46001 Ademuz;Total;Total;Sin estudios;2022;46
46001 Ademuz;Total;Total;Educación primaria;2022;121
46001 Ademuz;Total;Total;Primera etapa de Educación Secundaria y similar;2022;265
46001 Ademuz;Total;Total;Segunda etapa de educación secundaria, con orientación general;2022;123
46001 Ademuz;Total;Total;Segunda etapa de educación secundaria con orientación profesional, Educación postsecundaria no superior;2022;59
46001 Ademuz;Total;Total;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;2022;54
46001 Ademuz;Total;Total;Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios y equivalentes;2022;75
46001 Ademuz;Total;Total;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;2022;93
46001 Ademuz;Total;Total;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;2022;31
46001 Ademuz;Total;Total;Doctorado universitario;2022;7
46001 Ademuz;Total;España;Total;2022;741
46001 Ademuz;Total;España;Sin estudios;2022;29
46001 Ademuz;Total;España;Educación primaria;2022;108
46001 Ademuz;Total;España;Primera etapa de Educación Secundaria y similar;2022;226
46001 Ademuz;Total;España;Segunda etapa de educación secundaria, con orientación general;2022;96
46001 Ademuz;Total;España;Segunda etapa de educación secundaria con orientación profesional, Educación postsecundaria no superior;2022;54
46001 Ademuz;Total;España;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;2022;51
46001 Ademuz;Total;España;Grados universitarios de hasta 240 créditos ECTS, diplomados universitarios y equivalentes;2022;60
46001 Ademuz;Total;España;Grados universitarios de más de 240 créditos ECTS, licenciados y equivalentes;2022;82
46001 Ademuz;Total;España;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;2022;28
46001 Ademuz;Total;España;Doctorado universitario;2022;7
46001 Ademuz;Total;Extranjero;Total;2022;133
46001 Ademuz;Total;Extranjero;Sin estudios;2022;17
46001 Ademuz;Total;Extranjero;Educación primaria;2022;13
