COD_MUNICIPIO;MUNICIPIO;ALQUILER_M2
48001;Abadiño;8
48002;Abanto y Ciérvana-Abanto Zierbena;8,7
48003;Amorebieta-Etxano;8
48004;Amoroto;
48005;Arakaldo;
48006;Arantzazu;
48007;Munitibar;
48008;Artzentales;
48009;Zollo;
48010;Arrieta;
48011;Arrigorriaga;8
48012;Bakio;
48013;Barakaldo;10,4
48014;Barrika;
48015;Basauri;9,7
48016;Berango;10,8
48017;Bermeo;7
48018;Berriatua;
48019;Berriz;
48020;Bilbao;11,8
48021;Busturia;
48022;Valle de Carranza;
48023;Artea;
48024;Zeanuri;
48025;Zeberio;
48026;Dima;
48027;Durango;8,9
48028;Ea;
48029;Etxebarri;9,6
48030;Etxebarria;
48031;Elantxobe;
48032;Elorrio;7
48033;Ereño;
48034;Ermua;7,9
48035;Fruiz;
48036;Galdakao;8,8
48037;Galdames;
48038;Fika;
48039;Garai;
48040;Gatika;
48041;Gautegiz Arteaga;
48042;Gordexola;
48043;Gorliz;8,9
48044;Getxo;11,6
48045;Güeñes;7,5
48046;Lumo;7
48047;Gizaburuaga;
48048;Ibarrangelu;
48049;Ispaster;
48050;Izurtza;
48051;Lanestosa;
48052;Larrabetzu;
48053;Laukiz;
48054;Leioa;10,7
48055;Lemoa;
48056;Lemoiz;
48057;Lekeitio;7,2
48058;Mallabia;
48059;Mañaria;
48060;Xemein;6,4
48061;Jatabe;
48062;Mendata;
48063;Mendexa;
48064;Meñaka;
48065;Miraballes;
48066;Morga;
48067;Muxika;
48068;Mundaka;
48069;Mungia;8,8
48070;Aulesti;
48071;Muskiz;8,3
48072;Otxandio;
48073;Ondarroa;7,3
48074;Orduña;
48075;Orozko;
48076;Sukarrieta;
48077;Plentzia;
48078;Portugalete;9,7
48079;Errigoiti;
48080;Valle de Trápaga-Trapagaran;9,1
48081;Lezama;
48082;Santurtzi;10
48083;Ortuella;8,8
48084;Sestao;9,6
48085;Sopela;10,4
48086;Sopuerta;
48087;Turtzioz;
48088;Ubide;
48089;Urduliz;9,6
48090;Balmaseda;7,5
48091;Atxondo;
48092;Bedia;
48093;Areatza;
48094;Igorre;
48095;Zaldibar;
48096;Zalla;7,6
48097;Zaratamo;
48901;Derio;8,9
48902;Erandio;9,9
48903;Loiu;
48904;Sondika;
48905;Zamudio;
48906;Forua;
48907;Kortezubi;
48908;Murueta;
48909;Nabarniz;
48910;Iurreta;
48911;Ajangiz;
48912;Alonsotegi;
48913;Zierbena;
48914;Arratzu;
48915;Bolibar;
48916;Usansolo;
