CCN REGCESS;CCAA;PROVINCIAS;ÁREA DE SALUD;ZONA BÁSICA DE SALUD;MUNICIPIO;TIPO CENTRO;NOMBRE;DIRECCION;CP;LOCALIDAD;TELEFONO;DEPENDENCIA DE GESTIÓN;MODALIDAD DE GESTIÓN;ACREDITACIÓN DOCENTE POSTGRADUADA
1046000659.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Bellreguard;CENTRO SALUD;BELLREGUARD;RONDA DELS ESPORTS, S/N;46713;BELLREGUARD;962826450;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000450.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Almoines;CONSULTORIO LOCAL;ALMOINES;C/ METGE ANTELO, Nº 10;46723;ALMOINES;962829713;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000367.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Alqueria de la Comtessa, l';CONSULTORIO LOCAL;L´ALQUERÍA DE LA COMTESSA;C/ NOVA, Nº 2;46715;L´ ALQUERÍA DE LA COMTESSA;962829722;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000083.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Bellreguard;CONSULTORIO LOCAL;BELLREGUARD - PLAYA (verano);C/ TRAMUNTANA, S/N;46713;BELLREGUARD;-;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000047.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Beniarjó;CONSULTORIO LOCAL;BENIARJÓ;AVDA. PAÍS VALENCIÀ, Nº 15;46722;BENIARJÓ;962829703;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046004778.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Daimús;CONSULTORIO LOCAL;DAIMÚS;C/ JOSÉ MORÁN, Nº 2;46710;DAIMÚS;962829790;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000893.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Daimús;CONSULTORIO LOCAL;DAIMÚS - PLAYA;C/ MISTRAL, Nº 3;46710;DAIMÚS;962803162;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046001208.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Font d'En Carròs, la;CONSULTORIO LOCAL;LA FONT D´EN CARRÒS;C/ SAN ISIDRO, Nº 10;46717;LA FONT D'EN CARRÒS;962833887;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000337.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Guardamar de la Safor;CONSULTORIO LOCAL;GUARDAMAR DE LA SAFOR;C/ MOLINO, Nº 10;46711;GUARDAMAR DE LA SAFOR;962818851;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
1046000039.0;COMUNIDAD VALENCIANA;VALENCIA/VALÈNCIA;DEPARTAMENTO DE SALUD DE GANDÍA;D - 12 ZB - 01;Miramar;CONSULTORIO LOCAL;MIRAMAR;C/ ABADIA, Nº 28;46711;MIRAMAR;96281926;AGÈNCIA VALENCIANA DE SALUT;Pública Directa;NO
