municipio,distancia_centro_educativo,distancia_hospital
Abadiño,0,5.04
Abanto y Ciérvana-Abanto Zierbena,0.47,4.04
Ajangiz,1.45,13.82
Alonsotegi,0,3.19
Amorebieta-Etxano,0,8.85
Amoroto,3.75,17.93
Arakaldo,0,0
Arantzazu,1,7.76
Areatza,0,12.02
Arrankudiaga,0.13,9.47
Arratzu,2.4,13.12
Arrieta,5.73,9
Arrigorriaga,0,5.95
Artea,0,10.39
Artzentales,1.27,17.85
Atxondo,3.02,5.13
Aulesti,0,14.26
Bakio,6.28,7.4
Balmaseda,0,21.16
Barakaldo,0,0
Barrika,2.86,2.06
Basauri,0.13,3.18
Bedia,2.19,2.13
Berango,0,3.56
Bermeo,0,0
Berriatua,0.05,16.94
Berriz,3.32,1.95
Bilbao,0,0
Busturia,0,4.9
Derio,0,2.57
Dima,2.91,10.48
Durango,0,6.8
Ea,0,12.12
Elantxobe,3.3,7.02
Elorrio,0,5.29
Erandio,0,0
Ereño,2.12,10.97
Ermua,0,4.32
Errigoiti,3.53,11.04
Etxebarri,0.47,2.38
Etxebarria,0.24,11.23
Forua,1.91,10.08
Fruiz,5.1,7.08
Galdakao,0,0
Galdames,5.19,9.7
Gamiz-Fika,4.34,3.58
Garai,0,5.78
Gatika,2.59,6.33
Gautegiz Arteaga,0.55,9.97
Gernika-Lumo,0,12.56
Getxo,0.3,2.54
Gizaburuaga,3.38,17.99
Gordexola,2.97,13.24
Gorliz,0.59,0
Güeñes,0,12.17
Ibarrangelu,1.9,8.11
Igorre,0.45,7.35
Ispaster,0,15.71
Iurreta,0.26,6.89
Izurtza,1.22,7.46
Karrantza Harana/Valle de Carranza,0.11,29.31
Kortezubi,1.54,10.6
Lanestosa,6.31,35.52
Larrabetzu,0.18,4.54
Laukiz,0.18,4.33
Leioa,0.16,2.56
Lekeitio,0,18.74
Lemoa,3.52,3.53
Lemoiz,0.09,3.4
Lezama,0.11,2.56
Loiu,1.52,2.01
Mallabia,1.65,2.86
Mañaria,4.61,10.3
Markina-Xemein,0,11.81
Maruri-Jatabe,3.26,6.91
Mendata,4.49,14.67
Mendexa,1.9,20.57
Meñaka,3.2,9.1
Morga,5.74,8.42
Mundaka,0,2.52
Mungia,0,8.08
Munitibar-Arbatzegi Gerrikaitz,0,10.47
Murueta,2.13,8.43
Muskiz,0.26,7.96
Muxika,3.04,11.73
Nabarniz,3.31,15.87
Ondarroa,0,19.98
Orozko,0.13,15.01
Ortuella,0,2.85
Otxandio,0,16.51
Plentzia,1.6,1.45
Portugalete,0,0.81
Santurtzi,0,0
Sestao,0,1.78
Sondika,1.11,3.28
Sopela,0.72,2.63
Sopuerta,3.98,14.03
Sukarrieta,1.47,3.79
Trucios-Turtzioz,0.38,19.58
Ubide,3.67,19.59
Ugao-Miraballes,1.77,8.33
Urduliz,0.13,0
Urduña/Orduña,0,29.79
Valle de Trápaga-Trapagaran,0,2.62
Zaldibar,3.92,0
Zalla,0.23,14.49
Zamudio,0.08,0
Zaratamo,0,4.69
Zeanuri,0.27,14.99
Zeberio,0.29,8.84
Zierbena,3.34,5.45
Ziortza-Bolibar,4,9.14
