Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
46250 València;4625001 València distrito 01;;Renta neta media por hogar;2022;46.088
46250 València;4625002 València distrito 02;;Renta neta media por hogar;2022;52.010
46250 València;4625003 València distrito 03;;Renta neta media por hogar;2022;43.201
46250 València;4625004 València distrito 04;;Renta neta media por hogar;2022;42.527
46250 València;4625005 València distrito 05;;Renta neta media por hogar;2022;34.130
46250 València;4625006 València distrito 06;;Renta neta media por hogar;2022;58.092
46250 València;4625007 València distrito 07;;Renta neta media por hogar;2022;30.394
46250 València;4625008 València distrito 08;;Renta neta media por hogar;2022;36.536
46250 València;4625009 València distrito 09;;Renta neta media por hogar;2022;32.005
46250 València;4625010 València distrito 10;;Renta neta media por hogar;2022;34.390
46250 València;4625011 València distrito 11;;Renta neta media por hogar;2022;31.660
46250 València;4625012 València distrito 12;;Renta neta media por hogar;2022;38.406
46250 València;4625013 València distrito 13;;Renta neta media por hogar;2022;38.781
46250 València;4625014 València distrito 14;;Renta neta media por hogar;2022;38.379
46250 València;4625015 València distrito 15;;Renta neta media por hogar;2022;33.209
46250 València;4625016 València distrito 16;;Renta neta media por hogar;2022;32.894
46250 València;4625017 València distrito 17;;Renta neta media por hogar;2022;42.038
46250 València;4625018 València distrito 18;;Renta neta media por hogar;2022;30.219
46250 València;4625019 València distrito 19;;Renta neta media por hogar;2022;32.240
