Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
48001 Abadiño;;;Renta neta media por hogar;2022;41.817
48002 Abanto y Ciérvana-Abanto Zierbena;;;Renta neta media por hogar;2022;37.902
48003 Amorebieta-Etxano;;;Renta neta media por hogar;2022;42.273
48004 Amoroto;;;Renta neta media por hogar;2022;46.992
48005 Arakaldo;;;Renta neta media por hogar;2022;45.341
48006 Arantzazu;;;Renta neta media por hogar;2022;45.778
48007 Munitibar-Arbatzegi Gerrikaitz;;;Renta neta media por hogar;2022;37.015
48008 Artzentales;;;Renta neta media por hogar;2022;36.083
48009 Arrankudiaga-Zollo;;;Renta neta media por hogar;2022;49.002
48010 Arrieta;;;Renta neta media por hogar;2022;50.495
48011 Arrigorriaga;;;Renta neta media por hogar;2022;39.192
48012 Bakio;;;Renta neta media por hogar;2022;41.372
48013 Barakaldo;;;Renta neta media por hogar;2022;35.118
48014 Barrika;;;Renta neta media por hogar;2022;52.937
48015 Basauri;;;Renta neta media por hogar;2022;33.997
48016 Berango;;;Renta neta media por hogar;2022;52.584
48017 Bermeo;;;Renta neta media por hogar;2022;36.384
48018 Berriatua;;;Renta neta media por hogar;2022;44.415
48019 Berriz;;;Renta neta media por hogar;2022;42.155
48020 Bilbao;;;Renta neta media por hogar;2022;40.886
48021 Busturia;;;Renta neta media por hogar;2022;38.393
48022 Karrantza Harana/Valle de Carranza;;;Renta neta media por hogar;2022;30.280
48023 Artea;;;Renta neta media por hogar;2022;47.782
48024 Zeanuri;;;Renta neta media por hogar;2022;46.006
48025 Zeberio;;;Renta neta media por hogar;2022;44.929
48026 Dima;;;Renta neta media por hogar;2022;46.515
48027 Durango;;;Renta neta media por hogar;2022;45.065
48028 Ea;;;Renta neta media por hogar;2022;35.931
48029 Etxebarri;;;Renta neta media por hogar;2022;42.401
48030 Etxebarria;;;Renta neta media por hogar;2022;44.562
48031 Elantxobe;;;Renta neta media por hogar;2022;29.865
48032 Elorrio;;;Renta neta media por hogar;2022;43.692
