parque;lat;lon;area_m2
parque_156;43,28451290;-3,04824498242993;966884,64127083903
parque_353;43,24617345;-2,96058601887942;450845,43254480883
parque_29;43,27918565;-2,99078171599639;429421,35644620610
parque_35;43,23558635;-2,91302965745872;398667,46741170599
parque_98;43,32514555;-2,94139884571827;395774,67439832329
parque_16;43,26188015;-2,91778024133261;309072,33671860071
parque_319;43,29258555;-3,04331492273245;294807,77059082408
parque_324;43,33049205;-3,00067776931722;293231,22275458183
parque_33;43,24462255;-2,92015816072443;246722,71077333763
parque_89;43,25835545;-2,96351482142413;233228,87953953352
parque_99;43,32916865;-2,96998088942554;214040,43987064064
parque_19;43,25386520;-2,90425212717031;202231,09712014918
parque_333;43,30795840;-3,01377493656757;197466,59380384441
parque_32;43,24735855;-2,91718831188438;194912,31435172213
parque_200;43,28895620;-3,05106397140984;192461,34788572229
parque_61;43,23997075;-2,88422738227186;181779,57075085328
parque_378;43,19657345;-3,04593479632957;175903,46058764309
parque_108;43,30397595;-3,04985778617876;168308,64972628560
parque_238;43,29689995;-2,97734197522161;161950,22826951236
parque_94;43,32777425;-2,99600537323085;161066,72924062982
parque_13;43,26585670;-2,94171951957100;155952,27911984362
parque_403;43,23167720;-2,84810440427652;148781,91107096151
parque_66;43,24362335;-2,92423456053745;129431,61805642489
parque_59;43,32075150;-3,02871509784477;128835,23937319568
parque_7;43,24927485;-2,93850279956218;124519,77505730517
parque_102;43,29280860;-3,00130746203704;123879,13277293288
parque_210;43,28417850;-2,97874262356925;111062,40003481880
parque_254;43,24552245;-2,94545435545763;108135,88164796121
parque_64;43,29019645;-3,00298654432866;101622,94756013062
parque_432;43,23051725;-2,85162899815004;99183,22680670628
parque_174;43,24801555;-2,88443425000000;99123,26210742374
parque_129;43,29552505;-2,98240388779106;96624,24152710848
parque_216;43,31651050;-3,02745063962040;94384,51444602606
parque_110;43,30392380;-3,03293947242963;92424,68609261839
parque_145;43,29377215;-2,99476136702741;91159,34743358090
parque_320;43,27627110;-3,02701770155006;83972,88428473379
parque_88;43,29348790;-2,88438515056108;83762,41351402830
parque_90;43,28731275;-2,99635427365905;83170,73662345763
parque_132;43,28823975;-2,97821383630110;82913,85584818386
parque_428;43,28742675;-2,98387290559163;82708,11589938914
parque_281;43,25895465;-2,89467592198341;79386,54296282306
parque_438;43,27359385;-2,94860703361758;78665,75140145980
parque_232;43,29187810;-2,89157798591619;78322,65509567782
parque_421;43,33045075;-2,98804699135777;77209,06384482002
parque_36;43,25292125;-2,92811932853966;77159,78860690258
parque_51;43,27263270;-2,95756744346223;73638,26318045892
parque_227;43,23247045;-2,87213842234683;72645,20759570459
parque_107;43,30981375;-3,07678649930134;71796,08992161602
parque_163;43,24748145;-2,89031249180170;67634,38246676046
parque_3;43,21088085;-2,89697797545162;67430,33356793062
parque_294;43,31141285;-3,00809438363418;64749,69604583178
parque_6;43,24847930;-2,94788944652157;61477,55934885028
parque_243;43,30997595;-3,01913552059794;59560,87869322486
parque_173;43,31834390;-3,07016655830826;58998,32147549745
parque_260;43,31241525;-2,97832716444867;58935,05201949971
parque_360;43,21397750;-2,89846523582266;57621,70709669404
parque_5;43,33098695;-2,98366002423414;56674,25085723819
parque_315;43,28036920;-2,85857942424854;56046,65134414425
parque_298;43,34498125;-3,00307597244478;55287,17966137826
parque_193;43,32155175;-3,08418291585443;53940,49764587358
parque_339;43,32504515;-3,02746660918443;53901,50867697434
parque_394;43,22815840;-2,84147253853953;53563,82427245006
parque_175;43,25796290;-2,85132039284886;53510,04073004052
parque_286;43,27556310;-2,91904896902285;52464,32211257587
parque_365;43,21665035;-2,90983673197833;51852,02587356139
parque_402;43,23523945;-2,84905054468427;50768,98416144797
parque_252;43,27621910;-2,97563854585379;50338,77942585945
parque_237;43,23439765;-2,88028919862653;50122,30384429055
parque_103;43,29260395;-2,99783284672237;49670,75660750270
parque_367;43,23036050;-2,89529044901163;49661,15336896805
parque_308;43,30477740;-3,00360921359715;48906,47808270622
parque_84;43,32048675;-3,03884932753244;46968,38301426172
parque_228;43,24670330;-2,89649905556740;46709,87902466627
parque_338;43,23430370;-2,88933591506325;46407,03728374303
parque_430;43,31534455;-3,01162352215723;46064,72664419143
parque_313;43,28098340;-2,86141111000515;45925,18793036789
parque_8;43,31389760;-3,01026603598964;45900,74016364291
parque_412;43,32557185;-2,85133572606342;43097,57819403615
parque_169;43,35690595;-2,85365073920021;42917,52567099221
parque_386;43,34072370;-2,98706713871724;40992,89561557304
parque_223;43,22896545;-2,89004302904192;40355,50559960613
parque_335;43,23395670;-2,89620081896792;40138,63256222010
parque_340;43,33435100;-3,04094838330713;39665,69356699800
parque_234;43,28603085;-2,98876943574769;39251,61805890396
parque_256;43,27132750;-2,97307302305668;39119,82724082470
parque_374;43,26795235;-2,90563124837080;39014,81223109644
parque_284;43,24579380;-2,90874095139298;38727,28329389635
parque_420;43,34666690;-3,00273909860840;38513,08482972672
parque_130;43,20640080;-2,88585594727660;38332,83211631142
parque_226;43,28339335;-2,96514125514737;38240,20018269727
parque_54;43,31417325;-3,02660558970414;37690,39642658271
parque_273;43,26684075;-2,92758013810621;37563,90454263287
parque_351;43,25808450;-2,95763082866336;37526,90730420407
parque_96;43,32426370;-2,98067569954924;37513,43467589281
parque_75;43,32497600;-3,02172329175000;35828,83667517919
parque_141;43,25315605;-2,91959874833216;35607,43458795268
parque_87;43,24618390;-2,89583686105270;34677,05688856076
parque_382;43,30825400;-2,99546660916876;33461,42080587550
parque_159;43,24972740;-2,89141811014580;33420,65809000144
parque_236;43,23873135;-2,91859016015443;32990,97416150197
parque_209;43,25467235;-2,90191825640025;32818,22390534857
parque_111;43,30414360;-2,98559613462741;32660,33161501121
parque_197;43,31893085;-3,07282862142764;32656,80557124596
parque_127;43,27914300;-2,98701001251946;32544,50370692927
parque_164;43,27267400;-2,95219212292202;32506,73854564223
parque_259;43,31720090;-2,97952345755508;32469,24069119617
parque_419;43,31028635;-3,01484440928405;31758,53029355686
parque_422;43,31168290;-3,00096830478248;31655,14651258290
parque_309;43,31249825;-3,05158032322419;31576,63550270000
parque_439;43,28220540;-2,86142886763527;31180,89169124910
parque_285;43,24884940;-2,90846701030893;31064,83120959799
parque_47;43,23010230;-2,84013303263511;30887,42415431351
parque_282;43,24918880;-2,91631747431815;30723,01968866680
parque_337;43,23488615;-2,88104196700311;30674,90850307257
parque_134;43,28617480;-2,97731184156252;30644,99753754155
parque_148;43,30140585;-2,98826017416052;30467,39952525194
parque_244;43,30689650;-2,99455960961538;30433,14632039657
parque_423;43,28652630;-2,88524448427562;30180,32950058207
parque_168;43,26807540;-2,93930717982304;30127,73599344213
parque_269;43,29906605;-2,91531458633286;30015,27885770425
parque_18;43,25472345;-2,94222058823194;29408,05871152555
parque_38;43,25033980;-2,92890021062875;29265,10960583156
parque_211;43,25666110;-2,89812225374130;29216,60041045904
parque_299;43,25829475;-2,95291044508995;28762,87523356546
parque_140;43,25156730;-2,94562446881735;28359,72308380582
parque_15;43,26087055;-2,92337697319128;27702,13889702945
parque_9;43,31650465;-3,01915790093247;27394,94160363520
parque_350;43,25733200;-2,95434232719578;27256,23402371770
parque_178;43,26016980;-2,95791379882376;27099,50304810936
parque_361;43,21554685;-2,90046249834747;26151,61353662889
parque_160;43,24604765;-2,88926467608038;25771,60023114935
parque_69;43,32447815;-3,03326764577981;25700,48417353444
parque_370;43,27756600;-2,92969613091095;25669,06398257986
parque_220;43,22136535;-2,88699418335073;25608,99226669408
parque_161;43,32238755;-3,03034253527375;25534,55229601869
parque_440;43,24627510;-2,94014809059220;25162,00208286941
parque_83;43,30999130;-3,07845169362524;25054,20269947848
parque_329;43,29478715;-2,93228712806997;24935,58739307080
parque_189;43,31197335;-3,04864220880397;24866,56691823504
parque_146;43,33553925;-2,99562174631101;24844,57442383096
parque_323;43,30997250;-3,00831588816645;24791,28762759548
parque_316;43,28375820;-2,86690711534878;24777,18509696936
parque_117;43,31664345;-3,01417992308831;24712,26994153112
parque_63;43,29671440;-2,99587183136645;24632,22750699148
parque_373;43,27770105;-2,91685799820746;24533,02213409357
parque_317;43,28454370;-2,86151816780274;24329,13956226222
parque_248;43,28315570;-2,86741984639357;24007,43682177737
parque_390;43,23365315;-2,90863656201732;23990,44427308580
parque_185;43,20989620;-2,89161454437920;23924,53867376084
parque_264;43,29694670;-3,00299587315259;23674,43853248656
parque_12;43,32900770;-3,03163248105575;23119,91952387616
parque_155;43,33347325;-2,99153021490385;23087,91612215247
parque_385;43,20307970;-3,08744706355019;23056,72114413092
parque_91;43,28823485;-2,99633329640626;22988,82925174013
parque_135;43,27449305;-2,92124394954435;22695,47248903476
parque_328;43,28007840;-2,97388570722138;22665,69111994840
parque_249;43,29088870;-3,04506318233424;22446,00334687857
parque_82;43,32248595;-2,98886927534839;22226,65499529772
parque_247;43,26247810;-2,95684101010472;22194,03411320038
parque_57;43,31222890;-3,01625078196103;21782,00044380873
parque_198;43,32015610;-3,07552543202548;21778,41058941069
parque_136;43,26479870;-2,94628360896169;21589,87724640500
parque_11;43,31965755;-3,01548197413465;21228,13640172407
parque_300;43,27216800;-2,95632182202409;21084,78913586959
parque_268;43,29733945;-2,93054999513782;20977,86804816080
parque_336;43,23373400;-2,89095508796681;20618,38599121617
parque_74;43,30528840;-3,00825425581016;20498,85928473459
parque_62;43,23485325;-2,87871189541825;20312,51598224835
parque_125;43,29272410;-2,98483993935496;19969,64256470453
parque_404;43,25109200;-2,88531697773065;19852,19326009485
parque_101;43,29750390;-2,99076843960902;19600,86479776757
parque_162;43,32226920;-3,03281646062170;19521,78847192042
parque_170;43,35293360;-2,84777283333333;19511,58757101046
parque_274;43,24911555;-2,93424608969108;19306,66618120670
parque_10;43,31999225;-3,02574187942889;19277,34692535177
parque_303;43,24737350;-2,91981398716548;19260,21182176005
parque_275;43,25873430;-2,91994044578706;19198,02768445387
parque_405;43,30506580;-2,98254647232167;19168,34198720846
parque_27;43,34031520;-3,00133535030005;19015,18086983555
parque_375;43,26563395;-2,90684430569874;18971,11769076413
parque_321;43,31709575;-3,08424609216744;18609,79990062979
parque_383;43,29970410;-2,94372695105951;18579,28433417657
parque_187;43,27599740;-3,05198335957447;18252,31068138778
parque_67;43,31014515;-3,05447295144815;18214,25678407482
parque_205;43,32003700;-3,04343771453488;18184,69603163283
parque_393;43,22789195;-2,84561741568104;17981,79726823047
parque_177;43,24866395;-2,88792135910256;17924,49050286436
parque_257;43,27125740;-2,97145002466217;17868,91126764845
parque_366;43,21439720;-2,90196257540484;17861,17063731223
parque_433;43,25325620;-2,90889839594653;17760,72998885624
parque_441;43,28467250;-2,86762919945885;17746,90120485635
parque_167;43,26788910;-2,93642882327479;17690,27341623977
parque_65;43,35428090;-2,85134412085695;17648,80663152039
parque_131;43,20714025;-2,88977793803952;17636,82228484750
parque_152;43,26814870;-2,94254445156461;17435,45533283101
parque_325;43,21038200;-2,89123951977791;17384,16389175667
parque_34;43,24751560;-2,92852961884480;17190,52446782740
parque_255;43,25141185;-2,92654308163675;17165,36895956658
parque_24;43,33590800;-3,00247884357682;17147,73116309312
parque_305;43,24545895;-2,94288469756729;17138,53611843474
parque_58;43,31791210;-3,02057619803413;17119,79931999301
parque_426;43,32132410;-2,98959205038161;17062,78946094215
parque_289;43,30680255;-3,04560712736232;17000,27853511972
parque_191;43,31457460;-3,05821034495238;16356,04441770026
parque_357;43,31317840;-2,93806828286602;16291,15652123978
parque_355;43,30725245;-2,97274377669188;16235,76395204966
parque_123;43,29186790;-2,98895308805244;16180,39685089001
parque_359;43,29026575;-2,98853940439253;15962,07582002599
parque_318;43,28178845;-2,85977007667275;15785,32924118958
