parque;lat;lon;area_m2
parque_21;39,48049085;-0,367809562105262;304507,75360718439
parque_327;39,47733090;-0,408808216341755;280033,15737793577
parque_216;39,51998780;-0,453064889567030;260176,46405824833
parque_177;39,47973535;-0,386172661728077;176870,38492555218
parque_321;39,52112810;-0,429607233098093;163403,75212601374
parque_171;39,45716045;-0,351412638293869;157284,01006988040
parque_129;39,50944495;-0,446417603588189;150946,46267690434
parque_176;39,47508930;-0,399257070245693;146166,52845218405
parque_187;39,46009115;-0,356774676550213;144380,81790958816
parque_52;39,47701215;-0,393570423121862;140956,79700565990
parque_3;39,46614880;-0,361898527700219;136422,90147004341
parque_314;39,52104920;-0,435755668555610;133761,58147035923
parque_51;39,48144525;-0,377398064797345;133513,81207432377
parque_24;39,49761275;-0,396700868880688;127125,49984203186
parque_116;39,45759225;-0,378542551496616;125745,83839641733
parque_249;39,44838665;-0,375216743888639;116686,02190643243
parque_178;39,47748520;-0,370292597003660;116609,31780112284
parque_95;39,48103815;-0,414935488018432;108772,86808079072
parque_126;39,42920005;-0,468130251605418;105996,49697003691
parque_35;39,47490515;-0,367507527545206;104738,06704984477
parque_42;39,45542180;-0,452069610008012;98253,07977580537
parque_49;39,48695025;-0,381765149172432;96811,55890895173
parque_4;39,50583885;-0,412272287804576;94532,08991412340
parque_194;39,45488385;-0,347194242353448;94369,29885067756
parque_503;39,52280165;-0,426599826254550;92331,63009475870
parque_293;39,54893865;-0,421716542537315;89612,65472290271
parque_62;39,47635720;-0,343398564620253;89369,71151802316
parque_158;39,52715955;-0,485724937486109;77846,10097142639
parque_90;39,44576845;-0,393648701480244;76577,34968030266
parque_50;39,47980115;-0,373923581823651;75592,68440375698
parque_162;39,46202540;-0,419465414385072;74212,61884295964
parque_109;39,49318725;-0,365336947854597;73577,41729859239
parque_174;39,47390165;-0,404336479543305;71445,30994774766
parque_22;39,47686140;-0,386724069765149;70980,79061013280
parque_175;39,48160845;-0,382014906485871;70879,95842919979
parque_157;39,45354260;-0,460975168441311;70737,92832271289
parque_105;39,49236385;-0,404996720607873;65888,71523682130
parque_33;39,47015070;-0,363602309748135;65262,61471585459
parque_206;39,40270640;-0,409685125415664;65114,88545869495
parque_82;39,46667445;-0,395709195420958;63191,13311689626
parque_34;39,47210885;-0,365224646000916;58494,76784151597
parque_213;39,44340150;-0,332225832039711;58047,88017551415
parque_235;39,39769920;-0,433786095567397;54783,66761346778
parque_447;39,43870480;-0,379180390362179;54514,78792208157
parque_233;39,39196910;-0,410620181122983;54152,39837595203
parque_305;39,55327820;-0,457796678847152;52268,20023758546
parque_284;39,54802955;-0,454824933824246;51812,95725862123
parque_439;39,51314360;-0,409273408483755;46518,27324120246
parque_17;39,46993745;-0,381688266316399;45773,14086500388
parque_185;39,45119085;-0,400828932116287;44781,82496205810
parque_45;39,47629580;-0,467051505954897;43405,28258071421
parque_30;39,46249730;-0,359394796979849;43263,72452170328
parque_363;39,41034890;-0,484405278314365;43071,79112829885
parque_167;39,48093510;-0,433943915320921;42917,51096990379
parque_496;39,40004275;-0,412334528889240;42650,55708390614
parque_130;39,50743060;-0,439419409341443;41523,35564745287
parque_36;39,46767350;-0,456212750837499;41075,80453903798
parque_246;39,54179730;-0,419133218072980;40308,65350269713
parque_423;39,54059350;-0,343495168158550;39726,97670300200
parque_132;39,46774645;-0,455479570058690;39483,45511542214
parque_133;39,46697765;-0,434192431854891;38918,22252238017
parque_65;39,47294430;-0,344379724018891;36670,95378617472
parque_227;39,43230070;-0,463244599851734;36474,80752690416
parque_442;39,53695350;-0,490617419655502;35250,54100723052
parque_159;39,50231015;-0,415934859199706;34329,24683471707
parque_248;39,47402495;-0,409438820538834;33219,39951747819
parque_211;39,39640120;-0,401566483243658;32484,88325140486
parque_274;39,51728100;-0,437303832595468;32312,43175036460
parque_88;39,45199065;-0,367773394012476;32129,57865942735
parque_106;39,49665910;-0,403267917452833;31389,32398047368
parque_262;39,50443990;-0,406732329733112;31062,49408726604
parque_128;39,51006315;-0,454362550275522;30996,09180966439
parque_502;39,44871565;-0,463260532741312;30252,74088169495
parque_333;39,47669040;-0,425731939956692;29687,61057396698
parque_68;39,46745970;-0,344178403264787;29207,77293098863
parque_7;39,47122760;-0,327241588137768;29158,41052960670
parque_226;39,49441785;-0,381169039225592;29149,65243791929
parque_507;39,47775600;-0,433635721151973;28219,47765008663
parque_470;39,43535175;-0,442517979114074;28012,50197663676
parque_46;39,47888250;-0,349995639354741;27295,23474689085
parque_445;39,53303600;-0,407619837169382;27255,33345051494
parque_472;39,48357030;-0,403913377583203;27146,64862850821
parque_254;39,43201430;-0,413032942340755;26932,66689667245
parque_64;39,47167755;-0,340087210191821;26891,35213720502
parque_79;39,48209240;-0,331871856293444;26752,52730967291
parque_516;39,41306550;-0,394036378315258;26675,10950802939
parque_12;39,45644945;-0,357998047379708;25739,26838804727
parque_72;39,45366225;-0,363902737761345;25160,72658674774
parque_2;39,46128285;-0,395002888062747;25140,05708120804
parque_243;39,42723690;-0,465762074518666;24753,52315360866
parque_425;39,54463340;-0,342105312469665;24050,68529610973
